ID,PT_LIST,SeqId,Target,TargetFullName,UniProt,ENTREZ_GENE_ID_LIST,EntrezGeneSymbol,SPOT_ID
SL004066,Q9NZK7,2447-7_4,GIIE,Group IIE secretory phospholipase A2,Q9NZK7,30814,PLA2G2E,SL004066
SL004182,P39877,2449-1_4,GV,Calcium-dependent phospholipase A2,P39877,5322,PLA2G5,SL004182
SL001716,"P29459,P29460",2455-17_4,IL-12,Interleukin-12,P29459 P29460,"35,923,593",IL12A IL12B,SL001716
SL000133,P78556,2468-62_3,MIP-3a,C-C motif chemokine 20,P78556,6364,CCL20,SL000133
SL000573,P02743,2474-54_5,SAP,Serum amyloid P-component,P02743,325,APCS,SL000573
SL004010,P10721,2475-1_3,SCF sR,Mast/stem cell growth factor receptor Kit,P10721,3815,KIT,SL004010
SL003043,P35625,2480-58_3,TIMP-3,Metalloproteinase inhibitor 3,P35625,7078,TIMP3,SL003043
SL004365,O43508,2484-49_3,TWEAK,Tumor necrosis factor ligand superfamily member 12,O43508,8742,TNFSF12,SL004365
SL004643,Q9Y264,2500-2_3,Angiopoietin-4,Angiopoietin-4,Q9Y264,51378,ANGPT4,SL004643
SL000055,P12830,2501-51_3,Cadherin E,Cadherin-1,P12830,999,CDH1,SL000055
SL004144,O60609,2505-49_3,GFRa-3,GDNF family receptor alpha-3,O60609,2676,GFRA3,SL004144
SL004142,Q15768,2514-65_3,Ephrin-B3,Ephrin-B3,Q15768,1949,EFNB3,SL004142
SL004143,O00451,2515-14_3,GFRa-2,GDNF family receptor alpha-2,O00451,2675,GFRA2,SL004143
SL003193,O00585,2516-57_3,6Ckine,C-C motif chemokine 21,O00585,6366,CCL21,SL003193
SL000563,P13501,2523-31_3,RANTES,C-C motif chemokine 5,P13501,6352,CCL5,SL000563
SL003280,P09429,2524-56_3,HMG-1,High mobility group protein B1,P09429,3146,HMGB1,SL003280
SL002539,O00300,2526-53_3,OPG,Tumor necrosis factor receptor superfamily member 11B,O00300,4982,TNFRSF11B,SL002539
SL000300,P01189,2558-51_3,b-Endorphin,Beta-endorphin,P01189,5443,POMC,SL000300
SL003328,P05156,2567-5_6,Factor I,Complement factor I,P05156,3426,CFI,SL003328
SL000466,P18065,2570-72_5,IGFBP-2,Insulin-like growth factor-binding protein 2,P18065,3485,IGFBP2,SL000466
SL000045,P17936,2571-12_3,IGFBP-3,Insulin-like growth factor-binding protein 3,P17936,3486,IGFBP3,SL000045
SL000498,P41159,2575-5_5,Leptin,Leptin,P41159,3952,LEP,SL000498
SL000038,P13500,2578-67_2,MCP-1,C-C motif chemokine 2,P13500,6347,CCL2,SL000038
SL000527,P14780,2579-17_5,MMP-9,Matrix metalloproteinase-9,P14780,4318,MMP9,SL000527
SL001796,P05164,2580-83_2,Myeloperoxidase,Myeloperoxidase,P05164,4353,MPO,SL001796
SL000546,P01236,2585-2_5,PRL,Prolactin,P01236,5617,PRL,SL000546
SL006114,Q01973,2590-69_4,ROR1,Tyrosine-protein kinase transmembrane receptor ROR1,Q01973,4919,ROR1,SL006114
SL000002,P15692,2597-8_3,VEGF,Vascular endothelial growth factor A,P15692,7422,VEGFA,SL000002
SL004126,Q07011,2598-9_3,4-1BB,Tumor necrosis factor receptor superfamily member 9,Q07011,3604,TNFRSF9,SL004126
SL003735,P41273,2599-51_2,4-1BB ligand,Tumor necrosis factor ligand superfamily member 9,P41273,8744,TNFSF9,SL003735
SL001996,O15123,2602-2_2,Angiopoietin-2,Angiopoietin-2,O15123,285,ANGPT2,SL001996
SL003738,P33681,2603-61_2,B7,T-lymphocyte activation antigen CD80,P33681,941,CD80,SL003738
SL004180,P28908,2605-49_2,CD30,Tumor necrosis factor receptor superfamily member 8,P28908,943,TNFRSF8,SL004180
SL004692,"O75462,Q9UBD9",2607-54_2,CLF-1/CLC Complex,Cytokine receptor-like factor 1:Cardiotrophin-like cytokine factor 1 Complex,O75462 Q9UBD9,"924,423,529",CRLF1 CLCF1,SL004692
SL001777,P01034,2609-59_2,Cystatin C,Cystatin-C,P01034,1471,CST3,SL001777
SL004136,Q06418,2611-72_2,Dtk,Tyrosine-protein kinase receptor TYRO3,Q06418,7301,TYRO3,SL004136
SL004759,P55010,2612-5_2,eIF-5,Eukaryotic translation initiation factor 5,P55010,1983,EIF5,SL004759
SL004140,P52798,2614-28_2,Ephrin-A4,Ephrin-A4,P52798,1945,EFNA4,SL004140
SL004141,P52803,2615-60_2,Ephrin-A5,Ephrin-A5,P52803,1946,EFNA5,SL004141
SL000009,P04626,2616-23_18,ERBB2,Receptor tyrosine-protein kinase erbB-2,P04626,2064,ERBB2,SL000009
SL002519,P21860,2617-56_35,ERBB3,Receptor tyrosine-protein kinase erbB-3,P21860,2065,ERBB3,SL002519
SL003803,Q15303,2618-10_2,ERBB4,Receptor tyrosine-protein kinase erbB-4,Q15303,2066,ERBB4,SL003803
SL001890,P09758,2619-72_2,GA733-1 protein,Tumor-associated calcium signal transducer 2,P09758,4070,TACSTD2,SL001890
SL003872,P40189,2620-4_2,"gp130, soluble",Interleukin-6 receptor subunit beta,P40189,3572,IL6ST,SL003872
SL004751,P30519,2622-18_1,HO-2,Heme oxygenase 2,P30519,3163,HMOX2,SL004751
SL004697,P03129,2623-54_4,HPV E7 Type 16,Protein E7_HPV16,P03129,1489079,Human-virus,SL004697
SL004698,P06788,2624-31_2,HPV E7 Type18,Protein E7_HPV18,P06788,1489089,Human-virus,SL004698
SL017612,"P07900,P08238",2625-53_4,HSP 90a/b,Heat shock protein HSP 90-alpha/beta,P07900 P08238,,HSP90AA1 HSP90AB1,SL017612
SL004588,Q9NPH3,2630-12_2,IL-1 R AcP,Interleukin-1 Receptor accessory protein,Q9NPH3,3556,IL1RAP,SL004588
SL004147,Q08334,2631-50_2,IL-10 Rb,Interleukin-10 receptor subunit beta,Q08334,3588,IL10RB,SL004147
SL004148,P42701,2632-5_2,IL-12 Rb1,Interleukin-12 receptor subunit beta-1,P42701,3594,IL12RB1,SL004148
SL004149,P78552,2633-52_2,IL-13 Ra1,Interleukin-13 receptor subunit alpha-1,P78552,3597,IL13RA1,SL004149
SL003307,P31785,2634-2_2,IL-2 sRg,Cytokine receptor common subunit gamma,P31785,3561,IL2RG,SL003307
SL004646,Q6UX15,2635-61_2,Layilin,Layilin,Q6UX15,143903,LAYN,SL004646
SL000509,P36941,2636-10_2,Lymphotoxin b R,Tumor necrosis factor receptor superfamily member 3,P36941,4055,LTBR,SL000509
SL004579,P22897,2637-77_2,Macrophage mannose receptor,Macrophage mannose receptor 1,P22897,4360,MRC1,SL004579
SL004153,P07333,2638-12_2,M-CSF R,Macrophage colony-stimulating factor 1 receptor,P07333,1436,CSF1R,SL004153
SL004637,Q04912,2640-3_2,MSP R,Macrophage-stimulating protein receptor,Q04912,4486,MST1R,SL004637
SL004760,P68402,2642-4_1,PAFAH beta subunit,Platelet-activating factor acetylhydrolase IB subunit beta,P68402,5049,PAFAH1B2,SL004760
SL004183,P22223,2643-57_2,P-Cadherin,Cadherin-3,P22223,1001,CDH3,SL004183
SL000551,P17252,2644-11_2,PKC-A,Protein kinase C alpha type,P17252,5578,PRKCA,SL000551
SL000557,Q05513,2645-54_1,PKC-Z,Protein kinase C zeta type,Q05513,5590,PRKCZ,SL000557
SL003648,P50395,2647-66_2,Rab GDP dissociation inhibitor beta,Rab GDP dissociation inhibitor beta,P50395,2665,GDI2,SL003648
SL003178,P32942,2649-77_2,sICAM-3,Intercellular adhesion molecule 3,P32942,3385,ICAM3,SL003178
SL002506,Q03405,2652-15_1,suPAR,Urokinase plasminogen activator surface receptor,Q03405,5329,PLAUR,SL002506
SL004230,P10636,2653-62_1,tau,Microtubule-associated protein tau,P10636,4137,MAPT,SL004230
SL001992,P19438,2654-19_1,TNF sR-I,Tumor necrosis factor receptor superfamily member 1A,P19438,7132,TNFRSF1A,SL001992
SL004639,Q16288,2658-27_1,TrkC,NT-3 growth factor receptor,Q16288,4916,NTRK3,SL004639
SL004672,Q02223,2665-26_2,BCMA,Tumor necrosis factor receptor superfamily member 17,Q02223,608,TNFRSF17,SL004672
SL004081,P07585,2666-53_2,Bone proteoglycan II,Decorin,P07585,1634,DCN,SL004081
SL000337,"P07384,P04632",2668-70_2,Calpain I,Calpain I,P07384 P04632,"823,826",CAPN1 CAPNS1,SL000337
SL000383,P06732,2670-67_4,CK-MM,Creatine kinase M-type,P06732,1158,CKM,SL000383
SL005155,P13385,2672-60_1,Cripto,Teratocarcinoma-derived growth factor 1,P13385,6997,TDGF1,SL005155
SL002644,P00533,2677-1_1,ERBB1,Epidermal growth factor receptor,P00533,1956,EGFR,SL002644
SL000441,P14210,2681-23_2,HGF,Hepatocyte growth factor,P14210,3082,HGF,SL000441
SL000450,P10809,2682-68_1,HSP 60,"60 kDa heat shock protein, mitochondrial",P10809,3329,HSPD1,SL000450
SL000456,P01024,2683-1_2,iC3b,"Complement C3b, inactivated",P01024,718,C3,SL000456
SL004676,P24593,2685-21_2,IGFBP-5,Insulin-like growth factor-binding protein 5,P24593,3488,IGFBP5,SL004676
SL005172,P24592,2686-67_2,IGFBP-6,Insulin-like growth factor-binding protein 6,P24592,3489,IGFBP6,SL005172
SL001947,Q16674,2687-2_1,MIA,Melanoma-derived growth regulatory protein,Q16674,8190,MIA,SL001947
SL002528,P14555,2692-74_2,NPS-PLA2,"Phospholipase A2, membrane associated",P14555,5320,PLA2G2A,SL002528
SL000530,P13725,2693-20_3,OSM,Oncostatin-M,P13725,5008,OSM,SL000530
SL001721,P16284,2695-25_1,PECAM-1,Platelet endothelial cell adhesion molecule,P16284,5175,PECAM1,SL001721
SL004685,O60542,2696-87_2,Persephin,Persephin,O60542,5623,PSPN,SL004685
SL003041,P02776,2697-7_2,PF-4,Platelet factor 4,P02776,5196,PF4,SL003041
SL000049,P07225,2700-56_2,Protein S,Vitamin K-dependent protein S,P07225,5627,PROS1,SL000049
SL004364,O14836,2704-74_1,TACI,Tumor necrosis factor receptor superfamily member 13B,O14836,23495,TNFRSF13B,SL004364
SL003197,O15444,2705-5_2,TECK,C-C motif chemokine 25,O15444,6370,CCL25,SL003197
SL000590,P05543,2706-69_2,Thyroxine-Binding Globulin,Thyroxine-Binding Globulin,P05543,6906,SERPINA7,SL000590
SL004326,Q9UNG2,2708-54_2,TNFSF18,Tumor necrosis factor ligand superfamily member 18,Q9UNG2,8995,TNFSF18,SL004326
SL005153,P26992,2711-6_2,CNTFR alpha,Ciliary neurotrophic factor receptor subunit alpha,P26992,1271,CNTFR,SL005153
SL003334,Q12904,2714-78_2,EMAP-2,Endothelial monocyte-activating polypeptide 2,Q12904,9255,AIMP1,SL003334
SL005159,P19235,2715-25_2,EPO-R,Erythropoietin receptor,P19235,2057,EPOR,SL005159
SL004591,Q99062,2719-3_4,G-CSF-R,Granulocyte colony-stimulating factor receptor,Q99062,1441,CSF3R,SL004591
SL005178,Q9NZH6,2723-9_2,IL-1F7,Interleukin-37,Q9NZH6,27178,IL37,SL005178
SL000497,"P25391,P07942,P11047",2728-62_2,Laminin,Laminin,P25391 P07942 P11047,"28,421,739,123,915",LAMA1 LAMB1 LAMC1,SL000497
SL005199,Q29983,2730-58_2,MICA,MHC class I polypeptide-related sequence A,Q29983,4276,MICA,SL005199
SL000528,P16435,2731-29_2,NADPH-P450 Oxidoreductase,NADPH--cytochrome P450 reductase,P16435,5447,POR,SL000528
SL005235,Q9H9S0,2732-58_3,NANOG,Homeobox protein NANOG,Q9H9S0,79923,NANOG,SL005235
SL005206,O95944,2734-49_4,NKp44,Natural cytotoxicity triggering receptor 2,O95944,9436,NCR2,SL005206
SL004683,Q13253,2735-6_4,Noggin,Noggin,Q13253,9241,NOG,SL004683
SL005236,P48745,2737-22_2,NovH,Protein NOV homolog,P48745,4856,NOV,SL005236
SL005217,O43699,2741-22_2,Siglec-6,Sialic acid-binding Ig-like lectin 6,O43699,946,SIGLEC6,SL005217
SL005218,Q9Y286,2742-68_2,Siglec-7,Sialic acid-binding Ig-like lectin 7,Q9Y286,27036,SIGLEC7,SL005218
SL005220,Q15465,2743-5_2,Sonic Hedgehog,Sonic hedgehog protein,Q15465,6469,SHH,SL005220
SL005226,Q9HC73,2746-56_1,TSLP R,Cytokine receptor-like factor 2,Q9HC73,64109,CRLF2,SL005226
SL005229,Q9BZM4,2747-3_2,ULBP-3,NKG2D ligand 3,Q9BZM4,79465,ULBP3,SL005229
SL001938,P08476,2748-3_2,Activin A,Inhibin beta A chain,P08476,3624,INHBA,SL001938
SL000019,P02647,2750-3_2,Apo A-I,Apolipoprotein A-I,P02647,335,APOA1,SL000019
SL004589,P20160,2751-16_2,Azurocidin,Azurocidin,P20160,566,AZU1,SL004589
SL004329,P43026,2752-62_2,BMP-14,Growth/differentiation factor 5,P43026,8200,GDF5,SL004329
SL000309,"P02745,P02746,P02747",2753-2_2,C1q,Complement C1q subcomponent,P02745 P02746 P02747,"712,713,714",C1QA C1QB C1QC,SL000309
SL000312,P01024,2754-50_2,C3,Complement C3,P01024,718,C3,SL000312
SL003220,P01024,2755-8_2,C3adesArg,C3a anaphylatoxin des Arginine,P01024,718,C3,SL003220
SL004752,O95990,2760-2_2,DRR1,Protein FAM107A,O95990,11170,FAM107A,SL004752
SL004336,O76093,2761-49_2,FGF-18,Fibroblast growth factor 18,O76093,8817,FGF18,SL004336
SL004337,O95750,2762-30_2,FGF-19,Fibroblast growth factor 19,O95750,9965,FGF19,SL004337
SL004338,Q9NP95,2763-66_2,FGF-20,Fibroblast growth factor 20,Q9NP95,26281,FGF20,SL004338
SL003849,P31371,2764-20_2,FGF9,Fibroblast growth factor 9,P31371,2254,FGF9,SL003849
SL004345,O95390,2765-4_3,GDF-11,Growth/differentiation factor 11,O95390,10220,GDF11,SL004345
SL000440,P02790,2768-56_2,Hemopexin,Hemopexin,P02790,3263,HPX,SL000440
SL000445,P18093,2769-3_2,HIV-2 Rev,Protein Rev_HV2BE,P18093,1724716,Human-virus,SL000445
SL003176,P22362,2770-51_2,I-309,C-C motif chemokine 1,P22362,6346,CCL1,SL003176
SL000462,P08833,2771-35_2,IGFBP-1,Insulin-like growth factor-binding protein 1,P08833,3484,IGFBP1,SL000462
SL001717,P22301,2773-50_2,IL-10,Interleukin-10,P22301,3586,IL10,SL001717
SL000474,Q14005,2774-10_3,IL-16,Interleukin-16,Q14005,3603,IL16,SL000474
SL004352,Q96PD4,2775-54_2,IL-17F,Interleukin-17F,Q96PD4,112744,IL17F,SL004352
SL004347,Q9GZX6,2778-10_2,IL-22,Interleukin-22,Q9GZX6,50616,IL22,SL004347
SL000496,P02788,2780-35_2,Lactoferrin,Lactotransferrin,P02788,4057,LTF,SL000496
SL004356,Q8NHW4,2781-63_2,LAG-1,C-C motif chemokine 4-like,Q8NHW4,388372,CCL4L1,SL004356
SL004355,P16619,2783-18_2,LD78-beta,C-C motif chemokine 3-like 1,P16619,414062,CCL3L1,SL004355
SL000515,P80075,2785-15_2,MCP-2,C-C motif chemokine 8,P80075,6355,CCL8,SL000515
SL000524,P08254,2788-55_1,MMP-3,Stromelysin-1,P08254,4314,MMP3,SL000524
SL000525,P09237,2789-26_2,MMP-7,Matrilysin,P09237,4316,MMP7,SL000525
SL003191,P02775,2790-54_2,NAP-2,Neutrophil-activating peptide 2,P02775,5473,PPBP,SL003191
SL000581,P00441,2794-60_2,SOD,Superoxide dismutase [Cu-Zn],P00441,6647,SOD1,SL000581
SL002077,P05186,2795-23_3,"Alkaline phosphatase, bone","Alkaline phosphatase, tissue-nonspecific isozyme",P05186,249,ALPL,SL002077
SL000424,"P02671,P02675,P02679",2796-62_2,Fibrinogen,Fibrinogen,P02671 P02675 P02679,"224,322,442,266",FGA FGB FGG,SL000424
SL000020,P04114,2797-56_2,Apo B,Apolipoprotein B,P04114,338,APOB,SL000020
SL004415,Q9BYF1,2805-6_2,ACE2,Angiotensin-converting enzyme 2,Q9BYF1,59272,ACE2,SL004415
SL004128,P36896,2806-49_2,Activin RIB,Activin receptor type-1B,P36896,91,ACVR1B,SL004128
SL004625,O75173,2809-25_2,ADAMTS-4,A disintegrin and metalloproteinase with thrombospondin motifs 4,O75173,9507,ADAMTS4,SL004625
SL001995,Q15389,2811-27_1,Angiopoietin-1,Angiopoietin-1,Q15389,284,ANGPT1,SL001995
SL006924,O00253,2813-11_2,ART,Agouti-related protein,O00253,181,AGRP,SL006924
SL001902,P50895,2816-50_2,BCAM,Basal Cell Adhesion Molecule,P50895,4059,BCAM,SL001902
SL002081,P33151,2819-23_2,Cadherin-5,Cadherin-5,P33151,1003,CDH5,SL002081
SL004726,P48960,2822-56_2,CD97,CD97 antigen,P48960,976,CD97,SL004726
SL004704,Q86VX2,2823-7_1,COMMD7,COMM domain-containing protein 7,Q86VX2,149951,COMMD7,SL004704
SL004644,Q92838,2826-53_2,EDA,"Ectodysplasin-A, secreted form",Q92838,1896,EDA,SL004644
SL000427,P78423,2827-23_2,Fractalkine/CX3CL-1,Fractalkine,P78423,6376,CX3CL1,SL000427
SL004645,O43278,2828-82_2,HAI-1,Kunitz-type protease inhibitor 1,O43278,6692,SPINT1,SL004645
SL006915,"Q8NEV9,Q14213",2829-19_2,IL-27,Interleukin-27,Q8NEV9 Q14213,"24,677,810,148",IL27 EBI3,SL006915
SL002763,Q9UBX7,2831-29_1,Kallikrein 11,Kallikrein-11,Q9UBX7,11012,KLK11,SL002763
SL003800,Q9Y5K2,2833-20_1,Kallikrein 4,Kallikrein-4,Q9Y5K2,9622,KLK4,SL003800
SL003915,O60259,2834-54_1,kallikrein 8,Kallikrein-8,O60259,11202,KLK8,SL003915
SL004301,P12956,2835-1_4,Ku70,X-ray repair cross-complementing protein 6,P12956,2547,XRCC6,SL004301
SL000695,P80188,2836-68_2,Lipocalin 2,Neutrophil gelatinase-associated lipocalin,P80188,3934,LCN2,SL000695
SL000134,P08581,2837-3_2,Met,Hepatocyte growth factor receptor,P08581,4233,MET,SL000134
SL003332,Q9ULZ9,2838-53_1,MMP-17,Matrix metalloproteinase-17,Q9ULZ9,4326,MMP17,SL003332
SL004649,P23510,2839-2_1,OX40 Ligand,Tumor necrosis factor ligand superfamily member 4,P23510,7292,TNFSF4,SL004649
SL004650,Q92765,2841-13_2,sFRP-3,Secreted frizzled-related protein 3,Q92765,2487,FRZB,SL004650
SL003177,P13598,2842-68_1,sICAM-2,Intercellular adhesion molecule 2,P13598,3384,ICAM2,SL003177
SL001897,O43291,2843-13_2,SPINT2,Kunitz-type protease inhibitor 2,O43291,10653,SPINT2,SL001897
SL003199,P35590,2844-53_2,sTie-1,"Tyrosine-protein kinase receptor Tie-1, soluble",P35590,7075,TIE1,SL003199
SL000605,P62979,2846-24_2,Ubiquitin+1,"Ubiquitin+1, truncated mutation for UbB",P62979,6233,RPS27A,SL000605
SL004652,Q9Y5W5,2848-2_2,WIF-1,Wnt inhibitory factor 1,Q9Y5W5,11197,WIF1,SL004652
SL004768,P55008,2849-49_1,AIF1,Allograft inflammatory factor 1,P55008,199,AIF1,SL004768
SL008008,P05089,2850-3_2,ARGI1,Arginase-1,P05089,383,ARG1,SL008008
SL000320,P01031,2851-63_3,C5a,C5a anaphylatoxin,P01031,727,C5,SL000320
SL006911,O14757,2853-68_2,CHK1,Serine/threonine-protein kinase Chk1,O14757,1111,CHEK1,SL006911
SL000409,P27361,2855-49_2,ERK-1,Mitogen-activated protein kinase 3,P27361,5595,MAPK3,SL000409
SL006914,P04150,2857-70_2,Glucocorticoid receptor,Glucocorticoid receptor,P04150,2908,NR3C1,SL006914
SL004725,O14929,2858-29_2,Hat1,Histone acetyltransferase type B catalytic subunit,O14929,8520,HAT1,SL004725
SL004723,Q9BY41,2859-69_2,HDAC8,Histone deacetylase 8,Q9BY41,55869,HDAC8,SL004723
SL004718,P52292,2860-19_2,Karyopherin-a2,Importin subunit alpha-1,P52292,3838,KPNA2,SL004718
SL003793,Q02750,2864-2_3,MEK1,Dual specificity mitogen-activated protein kinase kinase 1,Q02750,5604,MAP2K1,SL003793
SL004724,Q92794,2865-77_2,MOZ,Histone acetyltransferase KAT6A,Q92794,7994,KAT6A,SL004724
SL000554,Q05655,2869-68_3,PKC-D,Protein kinase C delta type,Q05655,5580,PRKCD,SL000554
SL004009,P63000,2870-29_2,RAC1,Ras-related C3 botulinum toxin substrate 1,P63000,5879,RAC1,SL004009
SL006922,Q06609,2871-73_2,RAD51,DNA repair protein RAD51 homolog 1,Q06609,5888,RAD51,SL006922
SL006923,P20226,2875-15_2,TBP,TATA-box-binding protein,P20226,6908,TBP,SL006923
SL004305,P11387,2876-74_2,Topoisomerase I,DNA topoisomerase 1,P11387,7150,TOP1,SL004305
SL004306,P63279,2877-3_1,UBC9,SUMO-conjugating enzyme UBC9,P63279,7329,UBE2I,SL004306
SL006372,P07947,2878-66_2,YES,Tyrosine-protein kinase Yes,P07947,7525,YES1,SL006372
SL000248,P01011,2879-9_2,a1-Antichymotrypsin,Alpha-1-antichymotrypsin,P01011,12,SERPINA3,SL000248
SL000323,P10643,2888-49_2,C7,Complement component C7,P10643,730,C7,SL000323
SL002783,Q16619,2889-37_2,Cardiotrophin-1,Cardiotrophin-1,Q16619,1489,CTF1,SL002783
SL003303,Q9NRJ3,2890-59_2,CCL28,C-C motif chemokine 28,Q9NRJ3,56477,CCL28,SL003303
SL004330,P20273,2891-1_3,CD22,B-cell receptor CD22,P20273,933,CD22,SL004330
SL003329,Q16627,2900-53_3,HCC-1,C-C motif chemokine 14,Q16627,6358,CCL14,SL003329
SL000480,P05112,2906-55_3,IL-4,Interleukin-4,P05112,3565,IL4,SL000480
SL002621,P21741,2911-27_2,Midkine,Midkine,P21741,4192,MDK,SL002621
SL003302,P55773,2913-1_2,MPIF-1,C-C motif chemokine 23,P55773,6368,CCL23,SL003302
SL000131,P12004,2915-6_2,PCNA,Proliferating cell nuclear antigen,P12004,5111,PCNA,SL000131
SL002541,O14788,2917-3_2,sRANKL,Tumor necrosis factor ligand superfamily member 11,O14788,8600,TNFSF11,SL002541
SL000006,P05121,2925-9_1,PAI-1,Plasminogen activator inhibitor 1,P05121,5054,SERPINE1,SL000006
SL004668,P02649,2937-10_2,Apo E3,Apolipoprotein E (isoform E3),P02649,348,APOE,SL004668
SL004669,P02649,2938-55_2,Apo E4,Apolipoprotein E (isoform E4),P02649,348,APOE,SL004669
SL004670,Q5T4W7,2939-10_2,Artemin,Artemin,Q5T4W7,9048,ARTN,SL004670
SL000396,P99999,2942-50_2,Cytochrome c,Cytochrome c,P99999,54205,CYCS,SL000396
SL000398,P08684,2943-5_2,Cytochrome P450 3A4,Cytochrome P450 3A4,P08684,1576,CYP3A4,SL000398
SL005156,P41271,2944-66_2,DAN,Neuroblastoma suppressor of tumorigenicity 1,P41271,4681,NBL1,SL005156
SL000007,P03372,2945-25_1,ER,Estrogen receptor,P03372,2099,ESR1,SL000007
SL003327,P00746,2946-52_2,Factor D,Complement factor D,P00746,1675,CFD,SL003327
SL005168,P10912,2948-58_2,Growth hormone receptor,Growth hormone receptor,P10912,2690,GHR,SL005168
SL004067,O15496,2949-6_2,GX,Group 10 secretory phospholipase A2,O15496,8399,PLA2G10,SL004067
SL005171,P22692,2950-57_2,IGFBP-4,Insulin-like growth factor-binding protein 4,P22692,3487,IGFBP4,SL005171
SL000047,P05019,2952-75_2,IGF-I,Insulin-like growth factor I,P05019,3479,IGF1,SL000047
SL000506,"P01215,P01229",2953-31_2,Luteinizing hormone,Luteinizing hormone,P01215 P01229,"10,813,972",CGA LHB,SL000506
SL000526,P22894,2954-56_2,MMP-8,Neutrophil collagenase,P22894,4317,MMP8,SL000526
SL003542,Q96KQ7,2957-21_2,NG36,Histone-lysine N-methyltransferase EHMT2,Q96KQ7,10919,EHMT2,SL003542
SL003192,P27918,2960-66_2,Properdin,Properdin,P27918,5199,CFP,SL003192
SL000048,P04070,2961-1_2,Protein C,Vitamin K-dependent protein C,P04070,5624,PROC,SL000048
SL002561,P12272,2962-50_2,PTHrP,Parathyroid hormone-related protein,P12272,5744,PTHLH,SL002561
SL004362,Q9Y240,2966-65_2,SCGF-beta,Stem Cell Growth Factor-beta,Q9Y240,6320,CLEC11A,SL004362
SL001720,P19320,2967-8_1,VCAM-1,Vascular cell adhesion protein 1,P19320,7412,VCAM1,SL001720
SL004686,O95150,2968-61_1,TNFSF15,Tumor necrosis factor ligand superfamily member 15,O95150,9966,TNFSF15,SL004686
SL004851,P37023,2969-11_1,ALK-1,Serine/threonine-protein kinase receptor R3,P37023,94,ACVRL1,SL004851
SL000136,P15514,2970-60_2,AREG,Amphiregulin,P15514,374,AREG,SL000136
SL004078,P18075,2972-57_2,BMP-7,Bone morphogenetic protein 7,P18075,655,BMP7,SL004078
SL000668,P16671,2973-15_2,CD36 ANTIGEN,Platelet glycoprotein 4,P16671,948,CD36,SL000668
SL004855,Q12860,2974-61_2,contactin-1,Contactin-1,Q12860,1272,CNTN1,SL004855
SL002655,P29279,2975-19_2,CTGF,Connective tissue growth factor,P29279,1490,CTGF,SL002655
SL004856,Q02413,2976-58_2,Desmoglein-1,Desmoglein-1,Q02413,1828,DSG1,SL004856
SL004872,Q9UNE0,2977-7_2,EDAR,Tumor necrosis factor receptor superfamily member EDAR,Q9UNE0,10913,EDAR,SL004872
SL003169,P42830,2979-8_2,ENA-78,C-X-C motif chemokine 5,P42830,6374,CXCL5,SL003169
SL005160,Q96AP7,2981-9_3,ESAM,Endothelial cell-selective adhesion molecule,Q96AP7,90952,ESAM,SL005160
SL005165,P56470,2982-82_2,Galectin-4,Galectin-4,P56470,3960,LGALS4,SL005165
