target,trimester,contrast,estimate,se,df,t_ratio,p_value
LRIG3,Third,Control - sPTD,160.89044665012176,9.68019373564124,323,16.620581265614927,8.789699090834256e-45
SIRT2,Second,Control - sPTD,-184.82669196711265,11.36885059307085,369,-16.257289200349053,1.0066403246645686e-44
LIN7B,Second,Control - sPTD,183.36295593506594,11.282202034596416,369,16.252408472458733,1.0544536423748917e-44
NR1D1,Second,Control - sPTD,183.42831541218675,11.28786980168063,369,16.250038194529534,1.0784855620244105e-44
CD27,Third,Control - sPTD,-161.77320099255408,9.75543275641201,323,-16.582883100313975,1.233556033138005e-44
ECM1,Third,Control - sPTD,161.49913151364555,9.741228191868133,323,16.578929097304506,1.2781890217081957e-44
MATK,Third,Control - sPTD,159.80756823821093,9.657604292323668,323,16.547330311020687,1.698029177065562e-44
GPC5,Second,Control - sPTD,185.44117647058957,11.452230199296933,369,16.192581990010474,1.8620035145431033e-44
SIRT2,Third,Control - sPTD,-159.4419354838684,9.661859336278571,323,-16.502200035679692,2.547336491175727e-44
XPNPEP1,Third,Control - sPTD,-159.3820099255559,9.664919897086833,323,-16.49077401806468,2.8227705669317523e-44
PTN,Third,Control - sPTD,159.85955334987352,9.707586736520055,323,16.467486481318783,3.479734245070002e-44
CAMK2A,Third,Control - sPTD,-159.40794044664767,9.7039408634015,323,-16.427134366395013,5.000114575439361e-44
FLRT1,Third,Control - sPTD,-161.02171215880702,9.808260823773912,323,-16.416948432744768,5.479177929923671e-44
CAMK2D,Third,Control - sPTD,-159.26277915632517,9.702486258169815,323,-16.414635890076177,5.594179219874629e-44
PA2G4,Second,Control - sPTD,-181.96637149483837,11.34331408783957,369,-16.041729082500915,7.79849657445848e-44
PDPK1,Second,Control - sPTD,181.7819945182413,11.3538836275742,369,16.010556429939356,1.0481574326271084e-43
CAMK1,Second,Control - sPTD,-184.21289268395662,11.521823877545517,369,-15.988171199436813,1.2960322798365388e-43
UBE2N,Second,Control - sPTD,-184.39004849251697,11.539449278161788,369,-15.979102992503464,1.4123915895692768e-43
AIF1,Third,Control - sPTD,-158.28337468982386,9.720656715070598,323,-16.283197661370586,1.8208860862918117e-43
MDM2,Third,Control - sPTD,-158.08362282878159,9.730715123088054,323,-16.245838135133233,2.546243548070568e-43
DSC3,Third,Control - sPTD,158.00372208436482,9.73473202315327,323,16.23092671771198,2.910796708019923e-43
PTN,Second,Control - sPTD,180.78009698503433,11.390324995841757,369,15.871373033783614,3.919748801096926e-43
LY86,Third,Control - sPTD,-160.20310173697098,9.892121137311637,323,-16.195020209842383,4.017204729057689e-43
PSME1,Third,Control - sPTD,-159.41786600496076,9.84747923433123,323,-16.188697859771345,4.251638680955882e-43
SGTA,Third,Control - sPTD,-158.4772952853575,9.801785259572082,323,-16.168207228432607,5.109555070192228e-43
BTK,Third,Control - sPTD,-157.48436724565505,9.7607522213789,323,-16.13444985323142,6.916275762985231e-43
GDF2,Second,Control - sPTD,-181.10056925996238,11.45928527780927,369,-15.803827627073815,7.428960532762132e-43
GAS1,Second,Control - sPTD,182.3928947923284,11.560934914479835,369,15.776656139105585,9.606489768751861e-43
CHST2,Third,Control - sPTD,-157.24466501240445,9.772709356904308,323,-16.090181265987706,1.0286372323199383e-42
HIPK3,Second,Control - sPTD,-179.991566519081,11.430924632875072,369,-15.746019880266681,1.2834936285101993e-42
MRC2,Third,Control - sPTD,157.06488833746658,9.78165568218129,323,16.057086186705913,1.3839129905201247e-42
FGFR4,Third,Control - sPTD,157.3024813895785,9.810699357616551,323,16.0337684048443,1.705585425640756e-42
PARK7,Second,Control - sPTD,180.72981235505264,11.560730497748821,369,15.633078929592338,3.731311557958599e-42
CPNE1,Second,Control - sPTD,180.63978494623976,11.556370426815548,369,15.63118680646312,3.798574054998034e-42
DSC3,Second,Control - sPTD,179.1313514653211,11.460699806909028,369,15.630053529308274,3.8394390024213496e-42
MEPE,Third,Control - sPTD,158.1333746898246,9.993810500906184,323,15.82313119460149,1.1249195916782716e-41
FCRL3,Third,Control - sPTD,155.66662531017118,9.85061413115555,323,15.802733031418654,1.3501789735447733e-41
PTH,Third,Control - sPTD,155.4868486352333,9.859400683988211,323,15.77041583143546,1.8028304145790672e-41
MAPKAPK3,Second,Control - sPTD,177.7929580434324,11.51704102454219,369,15.437381673345199,2.3624841717472825e-41
CAMK1,Third,Control - sPTD,-157.3744416873432,10.018813287825699,323,-15.707892458538558,3.1534807554755353e-41
PDK1,Second,Control - sPTD,180.12492093611885,11.703092094935835,369,15.391224769910385,3.648467503798806e-41
KYNU,Third,Control - sPTD,-155.6939205955312,9.922201932532733,323,-15.691468653247709,3.65223564090932e-41
FYN,Second,Control - sPTD,177.40501792115046,11.533241678971752,369,15.382060209889492,3.9771456129631524e-41
FCAR,Third,Control - sPTD,154.96749379652368,9.884683323274547,323,15.677537532399858,4.1365895085075316e-41
BMP10,Third,Control - sPTD,157.11215880893258,10.062174739701991,323,15.614135400473648,7.289621581021127e-41
LRP8,Third,Control - sPTD,155.93560794044663,9.994115595597352,323,15.602742078462652,8.070648714890804e-41
ING1,Third,Control - sPTD,-155.81947890818648,9.991617049609667,323,-15.595021119656876,8.646922267152744e-41
C5,Second,Control - sPTD,-178.89837655492443,11.759687569840592,369,-15.212851148676348,1.9515090998052e-40
BOC,Second,Control - sPTD,178.9734345351066,11.770631326108214,369,15.205083701681236,2.099139886896644e-40
LY9,Second,Control - sPTD,177.45867594349892,11.6891755679135,369,15.181453551832913,2.6204045371958633e-40
PPID,Third,Control - sPTD,-156.57295285359677,10.122122173848865,323,-15.468391920630317,2.6780995514781292e-40
PCSK9,Third,Control - sPTD,-156.30856079404384,10.140275163153289,323,-15.414627145624426,4.326272556444007e-40
GOT1,Second,Control - sPTD,-177.90132827324754,11.761775161194434,369,-15.125380806478644,4.434163195659556e-40
BGN,Third,Control - sPTD,154.1519851116629,10.003523477125096,323,15.40976891433902,4.517828781875458e-40
PTH,Second,Control - sPTD,177.01149061775558,11.724543036697241,369,15.097517239155364,5.757823676850662e-40
UFM1,Second,Control - sPTD,176.83649588868093,11.738205260242841,369,15.065036942881209,7.806239586602075e-40
GREM1,Second,Control - sPTD,177.16961838499125,11.76728112752484,369,15.056121840292736,8.486171868443579e-40
LY86,Second,Control - sPTD,-177.75089605734914,11.807803922750232,369,-15.053679517397342,8.682548878765882e-40
CNTF,Third,Control - sPTD,152.89925558312416,9.991925995866547,323,15.302280626014987,1.1776282877188486e-39
FGFR4,Second,Control - sPTD,175.09171410499715,11.66132237953303,369,15.014739187067102,1.2502786940909057e-39
TF,Third,Control - sPTD,152.6065756823796,9.998763630778804,323,15.262544582273826,1.677693589995264e-39
RBM39,Second,Control - sPTD,174.62555344718544,11.665808202297729,369,14.969006040472252,1.91808905735828e-39
TEC,Third,Control - sPTD,-152.3353598014864,10.014568109680257,323,-15.211375880926544,2.6457538559228696e-39
CHST6,Third,Control - sPTD,152.48349875930302,10.035917461691657,323,15.193777683141722,3.0943288919582905e-39
MICA,Second,Control - sPTD,175.11269238878407,11.758001158291766,369,14.8930664346205,3.9011703741724854e-39
DMP1,Second,Control - sPTD,175.36601307189846,11.790818018277871,369,14.87309979681222,4.701106678658901e-39
ROR1,Third,Control - sPTD,153.2954094292784,10.152471198805049,323,15.099319803765743,7.168546054031956e-39
CRK,Third,Control - sPTD,-151.62009925558078,10.04711953953812,323,-15.090902288851535,7.72551944663382e-39
GPC2,Third,Control - sPTD,153.8677419354823,10.211745842547527,323,15.067721456049954,9.493012290859724e-39
DLL4,Third,Control - sPTD,152.3228287841193,10.109450517748186,323,15.067369736535218,9.522730200698093e-39
PCNA,Third,Control - sPTD,151.39193548386862,10.054765748593091,323,15.056734216314494,1.0466609925233995e-38
RELT,Third,Control - sPTD,151.39193548386845,10.054765748593097,323,15.056734216314469,1.0466609925236385e-38
ETHE1,Third,Control - sPTD,151.15223325061797,10.065924496580218,323,15.016229587453214,1.4999505255279012e-38
PPIE,Second,Control - sPTD,-172.91060510225975,11.7348316963681,369,-14.734817641720003,1.7079879492401098e-38
MBD4,Third,Control - sPTD,-153.8249379652595,10.26058490387035,323,-14.99182935538459,1.86286393261313e-38
DMP1,Third,Control - sPTD,150.94094292803726,10.078729650643925,323,14.976187293444637,2.1403954969513776e-38
COLEC12,Second,Control - sPTD,-174.85188699135833,11.893756216499103,369,-14.70114939373001,2.3372398575033815e-38
PCNA,Second,Control - sPTD,172.4967320261473,11.752938932796187,369,14.676901923211808,2.929257291632697e-38
FGF7,Third,Control - sPTD,-153.33374689826212,10.27875796963734,323,-14.917536471935444,3.6020011514607444e-38
DAPK2,Third,Control - sPTD,-150.71873449131283,10.124690692878433,323,-14.886255695428433,4.753807252796305e-38
CKAP2,Second,Control - sPTD,-174.138941598146,11.947279816542133,369,-14.575614221158045,7.514611936686466e-38
GPC2,Second,Control - sPTD,174.03552603837502,11.94085470102009,369,14.574796394056065,7.571940134095201e-38
NXPH1,Third,Control - sPTD,149.66637717121353,10.136413650946691,323,14.765219960931194,1.3895013625370496e-37
CDC37,Third,Control - sPTD,-151.98610421836085,10.30827636575718,323,-14.744085123992203,1.675432365255635e-37
PRL,Second,Control - sPTD,-170.7779886148009,11.807811780924196,369,-14.463136081716415,2.134972684278674e-37
CDON,Second,Control - sPTD,170.7804132405687,11.813421133728443,369,14.45647381121243,2.2710349912702223e-37
MICB,Third,Control - sPTD,149.37282878411662,10.163512705177377,323,14.696968766322778,2.5422649569193068e-37
ERP29,Second,Control - sPTD,170.5578747628121,11.809845189872732,369,14.442007665694906,2.5970069381622454e-37
AGR2,Third,Control - sPTD,150.53598014888138,10.248644712790044,323,14.688379231354986,2.742984124022893e-37
COMMD7,Third,Control - sPTD,-149.11625310173469,10.169343268583589,323,-14.6633119920736,3.4238517934627927e-37
CD70,Third,Control - sPTD,149.00024813895539,10.173631515592273,323,14.645728804959683,3.999807242087611e-37
IL24,Second,Control - sPTD,170.06314568838653,11.831638454275929,369,14.373592156792627,4.894871316590736e-37
BDNF,Third,Control - sPTD,-148.7152605459034,10.17768531532126,323,-14.611894152595854,5.394224826455516e-37
SKP1,Third,Control - sPTD,-150.9657568238202,10.390250711264292,323,-14.529558623658136,1.1162606865642482e-36
IL22RA1,Second,Control - sPTD,-168.54954670040408,11.90474139966583,369,-14.158186309291466,3.5814349085798564e-36
LSAMP,Third,Control - sPTD,147.37692307692078,10.23777927067638,323,14.395399547150424,3.644376402648163e-36
CAMK2B,Third,Control - sPTD,-147.47518610421596,10.248949113097495,323,-14.389298305301583,3.8456421708985615e-36
SSRP1,Third,Control - sPTD,-147.11724565756873,10.249335803499612,323,-14.353832138794388,5.255748528399494e-36
ROBO2,Third,Control - sPTD,149.23585607940302,10.418189906196188,323,14.324547490792563,6.801445438513576e-36
RAC1,Third,Control - sPTD,-148.06066997518397,10.348288009721644,323,-14.307745381273614,7.885336086833905e-36
EPHA3,Third,Control - sPTD,146.7776674937942,10.264397871001957,323,14.299686093468484,8.464819558138381e-36
CSK,Third,Control - sPTD,-146.57791563275185,10.27323136179561,323,-14.26794651757285,1.1191024600258642e-35
PRKACA,Third,Control - sPTD,-146.45806451612674,10.278522043445781,323,-14.248942007135883,1.32264486639675e-35
FCN2,Third,Control - sPTD,148.08697270471268,10.42451884017135,323,14.205641044462686,1.9351713505604403e-35
GREM1,Third,Control - sPTD,146.05707196029817,10.305882009382321,323,14.17220494348082,2.5957691409502127e-35
GOT1,Third,Control - sPTD,-146.68573200992336,10.36433212815835,323,-14.152936262183264,3.074246086767782e-35
MEPE,Second,Control - sPTD,168.81045751634213,12.166756384223756,369,13.874729811737929,4.849149851717921e-35
LY9,Third,Control - sPTD,147.77059553349739,10.494645256655474,323,14.080570797739401,5.800563996683958e-35
FETUB,Third,Control - sPTD,145.2703473945415,10.338328025510018,323,14.051628758159366,7.47577998523297e-35
NRP1,Second,Control - sPTD,168.34250474383535,12.180615396057483,369,13.820525422576186,7.966657230885658e-35
FGF23,Second,Control - sPTD,165.80666244992622,12.015745064868556,369,13.799116205844705,9.690915815651634e-35
FGR,Second,Control - sPTD,165.5728441914435,12.000559328404968,369,13.79709392374216,9.871884473203712e-35
CD226,Third,Control - sPTD,147.68796526054493,10.53619726452531,323,14.017198193298896,1.0108109419463378e-34
CD48,Second,Control - sPTD,166.175627240144,12.133109276252837,369,13.696046368377003,2.4855942123099395e-34
PYY,Second,Control - sPTD,167.02076744676492,12.198781142644899,369,13.691594717023674,2.5886679120405676e-34
ARSB,Second,Control - sPTD,-167.15675732658798,12.23341072852713,369,-13.663953662308959,3.3312205187219464e-34
LGMN,Second,Control - sPTD,-165.89542483660387,12.219287451661648,369,-13.576521993845432,7.388967697623356e-34
CD226,Second,Control - sPTD,166.30371073160643,12.264665408697015,369,13.559579914318622,8.620717529783283e-34
PRKACA,Second,Control - sPTD,-166.0020029517203,12.267011759570693,369,-13.53239127876485,1.1039348720397309e-33
RAD51,Third,Control - sPTD,145.4847394540936,10.61578673424913,323,13.704565012098836,1.5514472482988985e-33
AIF1,Second,Control - sPTD,-163.07063040270222,12.093054935517927,369,-13.484651419531335,1.703546837853562e-33
BMX,Second,Control - sPTD,-162.9865064305327,12.097742263744387,369,-13.472473034822826,1.902752912440586e-33
BMX,Third,Control - sPTD,-142.74727047146177,10.442746331890103,323,-13.669514314978576,2.1052168521694048e-33
MAPK14,Third,Control - sPTD,-142.46302729528287,10.450911271553187,323,-13.631636858601938,2.9271787130340156e-33
FETUB,Second,Control - sPTD,162.35294117647052,12.11919603807039,369,13.396345819183583,3.795610865529049e-33
BCAR3,Second,Control - sPTD,-163.87476280835193,12.255623319428693,369,-13.371393566622045,4.758348868962206e-33
CHL1,Third,Control - sPTD,142.003598014886,10.47025150224744,323,13.562577554551094,5.335594960182091e-33
JAG2,Third,Control - sPTD,141.8238213399481,10.47779272358542,323,13.535658232740557,6.740970838771547e-33
DKK1,Third,Control - sPTD,-143.21823821339936,10.649521463967845,323,-13.44832617108398,1.4380278821295111e-32
GFAP,Second,Control - sPTD,161.1638203668564,12.174848495702296,369,13.237439498630888,1.597482003355592e-32
NMT1,Third,Control - sPTD,-140.89032258064287,10.525273771404592,323,-13.385905738947931,2.4694334200221865e-32
FER,Third,Control - sPTD,-140.85570719602742,10.535142383522306,323,-13.370081017256638,2.8319353011446095e-32
MBD4,Second,Control - sPTD,-161.80255112797875,12.306722965977261,369,-13.147492762719406,3.594121359855758e-32
JAG2,Second,Control - sPTD,160.25806451613255,12.194524629757073,369,13.14180498066082,3.782972459012218e-32
KLRF1,Third,Control - sPTD,140.30186104218126,10.541994494403975,323,13.308853568141963,4.8090183550222015e-32
CAPG,Third,Control - sPTD,139.5761786600474,10.651164636119963,323,13.104311446536103,2.8063601996430867e-31
DHH,Third,Control - sPTD,-141.4069478908177,10.797189945869095,323,-13.096643534081633,2.9977509458061428e-31
SPINT2,Third,Control - sPTD,-141.22605459057002,10.786195858368695,323,-13.093221785046378,3.087306558321607e-31
ERP29,Third,Control - sPTD,138.73225806451364,10.60895132253362,323,13.076905892653462,3.55242551509498e-31
RPS6KA3,Second,Control - sPTD,157.5618806662486,12.289371663642493,369,12.82098751495878,6.709516503401815e-31
ROBO3,Third,Control - sPTD,138.14838709677193,10.628732712058484,323,12.997634886428196,7.019492050415782e-31
MATN3,Third,Control - sPTD,140.26972704714487,10.820348226491335,323,12.963513198560847,9.407101752478431e-31
MICB,Second,Control - sPTD,157.80392156863076,12.357661609044383,369,12.769723476902497,1.0597367116525673e-30
CSK,Second,Control - sPTD,157.01876449504508,12.308195416535277,369,12.757253129414924,1.1842438302138201e-30
SSRP1,Second,Control - sPTD,-156.84419144001674,12.31422601129926,369,-12.736829037902991,1.4204176179914167e-30
ARSB,Third,Control - sPTD,-138.49243176178692,10.726030539642485,323,-12.911806585850266,1.4653447928677781e-30
FSTL3,Third,Control - sPTD,137.51761786600272,10.656857071520623,323,12.904143965063087,1.5647492863171922e-30
STK16,Second,Control - sPTD,-159.1483238456688,12.524170680135091,369,-12.707294391803368,1.8472883499239174e-30
TBP,Second,Control - sPTD,-156.2306557031415,12.350971283924103,369,-12.649260702799117,3.0936915848524965e-30
COLEC12,Third,Control - sPTD,-139.25136476426678,10.878505198966673,323,-12.800597344706329,3.79421763952213e-30
FLRT1,Second,Control - sPTD,-158.0885515496546,12.522784032048504,369,-12.624073939554648,3.868534535367334e-30
UFC1,Second,Control - sPTD,158.08169934640654,12.539246166258218,369,12.606953978763702,4.502814985529232e-30
AIP,Second,Control - sPTD,157.897533206833,12.552406011766237,369,12.579065165580586,5.765327978816976e-30
AREG,Third,Control - sPTD,-138.91464019850997,10.897244838950472,323,-12.747684598402492,5.960979773650366e-30
GFAP,Third,Control - sPTD,135.93114143920653,10.716873998710737,323,12.683842457750211,1.0272889292441985e-29
CD27,Second,Control - sPTD,-156.94781783681447,12.557834937723857,369,-12.497999743995814,1.1811562531380143e-29
HDAC8,Third,Control - sPTD,-134.63275434242948,10.767497113871555,323,-12.503625765451542,4.75170851831145e-29
TLR2,Second,Control - sPTD,-155.3462998102479,12.628915374884091,369,-12.300842566353303,6.706909553115621e-29
CFC1,Third,Control - sPTD,-136.54751861042075,10.99045263878638,323,-12.424194261893385,9.311332845243711e-29
C9,Third,Control - sPTD,135.49354838709684,10.909402692661343,323,12.419886973119263,9.65687709006467e-29
SPARCL1,Third,Control - sPTD,-135.59764267989948,11.01295841183563,323,-12.312553776120016,2.3909250068373634e-28
EDA,Third,Control - sPTD,133.50781637716898,10.845108267461514,323,12.310418032223001,2.434380553163551e-28
CAMK1D,Third,Control - sPTD,133.56972704714437,10.897980574205635,323,12.25637411790674,3.838620079832942e-28
SPINT2,Second,Control - sPTD,-152.05597722960192,12.594994380524176,369,-12.072730851291867,4.932188605432667e-28
MIF,Third,Control - sPTD,-134.70024813895657,11.049012553452098,323,-12.191157127147212,6.644207336761916e-28
CNTN2,Second,Control - sPTD,152.74225173940658,12.723928383229518,369,12.004331299186264,8.944245992248305e-28
RPS6KA3,Third,Control - sPTD,-131.39677419354604,10.890556218935165,323,-12.065203241418414,1.9112562656894642e-27
TBP,Third,Control - sPTD,-130.9772952853604,10.906189022463657,323,-12.009446655984444,3.0471703098789693e-27
PAK6,Third,Control - sPTD,133.02258064516045,11.12442131764608,323,11.957707897502388,4.694252305847465e-27
BDNF,Second,Control - sPTD,-149.6749947290773,12.709702866056697,369,-11.776435397935888,6.4309645095045046e-27
SKP1,Second,Control - sPTD,-150.3643263757127,12.790156197685022,369,-11.756254110714314,7.652417644704722e-27
NAGK,Second,Control - sPTD,149.14885093822755,12.714287819863435,369,11.730806558053015,9.526802300449829e-27
NCK1,Third,Control - sPTD,129.79640198510933,10.959846065779281,323,11.842903742086488,1.2215313976584346e-26
RAC1,Second,Control - sPTD,-147.8606367278124,12.668972016130114,369,-11.671084010569798,1.5918070092467826e-26
DLL1,Third,Control - sPTD,131.15148883374573,11.183800543272277,323,11.726915937591642,3.198679871082372e-26
HTRA2,Third,Control - sPTD,-128.79999999999768,10.986176740160996,323,-11.723823769297033,3.281666252623754e-26
NCK1,Second,Control - sPTD,146.38920514442668,12.658268597983895,369,11.564709976824346,3.960211803600038e-26
FCN1,Second,Control - sPTD,-147.97860004216997,12.79600813560371,369,-11.564434663841233,3.96954524196563e-26
ERBB2,Third,Control - sPTD,129.26935483870773,11.106535833315439,323,11.639034598974433,6.61704136928747e-26
FSTL3,Second,Control - sPTD,145.58306978705787,12.708283096217443,369,11.455762252446984,1.0032627539928073e-25
CNTF,Second,Control - sPTD,146.70809614168297,12.846729059811778,369,11.419879368408852,1.3614164272088295e-25
CHST2,Second,Control - sPTD,-144.94486611849015,12.719154589859022,369,-11.395794043894604,1.6705938471993706e-25
EPHB2,Third,Control - sPTD,127.69950372208228,11.084608767840452,323,11.52043399967117,1.7587943972398501e-25
EDAR,Third,Control - sPTD,-129.57270471463937,11.249316792952955,323,-11.518273251563967,1.790332421197804e-25
MATK,Second,Control - sPTD,144.03088762387,12.764831756256704,369,11.283414491794849,4.329278748083149e-25
CFC1,Second,Control - sPTD,144.5120177103102,12.856976047686363,369,11.239969427827893,6.248433836524944e-25
NID2,Second,Control - sPTD,-145.33428209993883,12.940302322763134,369,-11.231134982393959,6.731937528959015e-25
ERBB3,Third,Control - sPTD,125.86364764267759,11.091041183891198,323,11.348226515061898,7.219697065078507e-25
ADAM12,Second,Control - sPTD,-143.42072527935932,12.910686086927328,369,-11.108683482327054,1.8859949538747387e-24
GP1BA,Third,Control - sPTD,124.64516129032029,11.133562541582194,323,11.195442682859976,2.5085796463718973e-24
CHST6,Second,Control - sPTD,141.8963736032076,12.846317319173302,369,11.045684928818108,3.197387659974042e-24
LYN,Third,Control - sPTD,-124.32555831265272,11.144620547049414,323,-11.155656470113597,3.4655742312138954e-24
FCN2,Second,Control - sPTD,143.06282943285078,12.999259528183421,369,11.005459897364098,4.4755219998645225e-24
GCKR,Second,Control - sPTD,-140.9580434324264,12.824239228785801,369,-10.991532590566957,5.0274751673673e-24
RET,Third,Control - sPTD,123.50657568237988,11.172777536939089,323,11.054241013395844,7.880405109230478e-24
C3,Third,Control - sPTD,123.23300248138739,11.194602378749074,323,11.008251862104807,1.1425326896972168e-23
LRP8,Second,Control - sPTD,141.13514653173135,12.979257107617292,369,10.873900205652117,1.338670361596332e-23
ACE2,Second,Control - sPTD,139.8450347881119,12.876627491969012,369,10.860377445517582,1.4976910152181863e-23
PYY,Third,Control - sPTD,122.5846153846131,11.209540270058143,323,10.935739774453504,2.0493894354909882e-23
RGMB,Third,Control - sPTD,124.36042183622686,11.397194642003807,323,10.911494077490136,2.490614582037665e-23
RAN,Second,Control - sPTD,140.46088973223766,13.054792203542608,369,10.759335540715965,3.457060712089821e-23
BST1,Third,Control - sPTD,122.4957816377152,11.29507788163064,323,10.845058610612325,4.245343140671156e-23
TF,Second,Control - sPTD,-140.19312671305295,13.07466608073538,369,-10.72250150385239,4.6850363397855587e-23
METAP1,Third,Control - sPTD,-121.34615384615158,11.251181435876848,323,-10.785192162950361,6.856026544563593e-23
CD70,Second,Control - sPTD,136.30908707569367,12.962729286597149,369,10.51546198813477,2.5607941865731884e-22
SGTA,Second,Control - sPTD,138.38393421885073,13.16272272945202,369,10.513321374552104,2.605928864809328e-22
TFPI,Second,Control - sPTD,-135.97596457937993,13.028776440180867,369,-10.436587441935744,4.868873370702678e-22
PDE5A,Second,Control - sPTD,136.70503900484974,13.169218912058357,369,10.38064899047856,7.667690875537496e-22
ABL2,Second,Control - sPTD,-135.64632089394954,13.182969585438801,369,-10.28951178373173,1.6025142701948841e-21
MATN2,Third,Control - sPTD,117.56836228287631,11.40618182183707,323,10.307424878831263,3.005999278184966e-21
AMHR2,Second,Control - sPTD,-135.30202403542236,13.253556491355305,369,-10.208733340645113,3.0710358076978733e-21
STK16,Third,Control - sPTD,119.10248138957793,11.566997408910943,323,10.296750070837241,3.267894106360458e-21
LCK,Third,Control - sPTD,-117.03250620347461,11.421580195185335,323,-10.246612482991505,4.835241404616046e-21
ASAH2,Third,Control - sPTD,116.57518610421624,11.401007453719167,323,10.224989903518377,5.72363726610734e-21
C9,Second,Control - sPTD,132.69122917984407,13.173729923697143,369,10.072411530249811,9.14654927530971e-21
FST,Third,Control - sPTD,-116.10049627791643,11.435072253182014,323,-10.153018162662626,1.0021894500895344e-20
RGMA,Second,Control - sPTD,-133.62745098039386,13.307469843964123,369,-10.041537012462467,1.1698180648251767e-20
EDAR,Second,Control - sPTD,-133.4982078853063,13.310898921447642,369,-10.029240599987034,1.2901123481822451e-20
PAK3,Third,Control - sPTD,117.51327543424279,11.636749231951544,323,10.098462473658994,1.5303395899635308e-20
C1QBP,Second,Control - sPTD,-131.61311406283113,13.354744747984647,369,-9.855157589791654,5.120629124590558e-20
ESAM,Second,Control - sPTD,-129.4944128188942,13.14774469414261,369,-9.849173058295287,5.367850383667893e-20
UFM1,Third,Control - sPTD,-114.01836228287627,11.480780371957325,323,-9.93123799854013,5.561203247784318e-20
BMPER,Second,Control - sPTD,-129.70303605313094,13.236682071267092,369,-9.798757374000674,7.980441264592419e-20
BGN,Second,Control - sPTD,130.74530887624064,13.349482504320783,369,9.79403574887062,8.28191828448078e-20
