target,trimester,contrast,estimate,se,df,t_ratio,p_value
OBCAM,Second,Control - sPTD,-186.98387096774525,11.256973137163781,369,-16.610492775401276,3.4836718645246924e-46
MMP-7,Third,Control - sPTD,-163.48672456575466,9.628793476137142,323,-16.978941855064264,3.4974787472868144e-46
b-Endorphin,Second,Control - sPTD,186.98060299388905,11.257771032065904,369,16.609025220117342,3.532777887213121e-46
IL-17B R,Third,Control - sPTD,163.74230769230556,9.651292443465659,323,16.965842518135087,3.9352108831629385e-46
NOTC2,Third,Control - sPTD,162.91315136476217,9.605190148380842,323,16.960950157996052,4.1123926905135104e-46
ON,Third,Control - sPTD,-163.3008684863502,9.628293547386882,323,-16.960520333394907,4.128335217113572e-46
a2-Macroglobulin,Second,Control - sPTD,-186.74193548387427,11.257971556134903,369,-16.587529516550553,4.33660696097837e-46
KPCT,Second,Control - sPTD,186.54838709677756,11.258568000825987,369,16.569459551435973,5.152075922449349e-46
C3a,Second,Control - sPTD,187.55660974067342,11.323991514236843,369,16.56276494952084,5.491656537587878e-46
Cadherin-6,Second,Control - sPTD,-186.370967741939,11.258957536707399,369,-16.553128221180046,6.0201114032446665e-46
IF4A3,Second,Control - sPTD,186.7949609951541,11.29048937315882,369,16.544452133246473,6.539210759431146e-46
Thrombin,Third,Control - sPTD,-162.17741935483633,9.592499850241737,323,-16.906689797941397,6.702007894242054e-46
PA2G4,Third,Control - sPTD,-162.12903225806207,9.592229619072116,323,-16.90212168563009,6.9832982384399794e-46
Endoglin,Third,Control - sPTD,163.33287841190872,9.664381501068407,323,16.900499881327338,7.085977528767952e-46
amyloid precursor protein,Third,Control - sPTD,-161.98387096773962,9.591326219610831,323,-16.8885790409819,7.888491985468419e-46
Elastase,Third,Control - sPTD,161.8709677419331,9.590527416633842,323,16.878213335919728,8.659808204897171e-46
Coagulation Factor V,Second,Control - sPTD,186.58486190175313,11.299298790114884,369,16.512959376292063,8.828552002004346e-46
METAP1,Second,Control - sPTD,187.45098039215972,11.354220587017588,369,16.509365742505576,9.136146676867314e-46
RAN,Third,Control - sPTD,-164.12692307692157,9.7315455890941,323,-16.8654528280538,9.713611234687743e-46
MRCKB,Second,Control - sPTD,-186.8316466371526,11.32275509433719,369,-16.500546473056904,9.937174340555312e-46
RANTES,Third,Control - sPTD,-161.78722084366999,9.59586307990358,323,-16.86010101399817,1.0192877620835582e-45
CK2-A1:B,Third,Control - sPTD,-161.64131513647396,9.58986312742674,323,-16.85543505560411,1.062997188211503e-45
CD30 Ligand,Third,Control - sPTD,163.76625310173546,9.720201844139075,323,16.84803008493908,1.1362432674918322e-45
LYVE1,Second,Control - sPTD,185.7253847775705,11.267942838036348,369,16.48263462525132,1.1786506277660799e-45
LG3BP,Second,Control - sPTD,185.50959308454912,11.260531420742623,369,16.474319563890965,1.275822428467571e-45
JAK2,Second,Control - sPTD,187.3366013071922,11.371710353278882,369,16.473916015032533,1.2807369175475219e-45
BNP-32,Third,Control - sPTD,162.25397022332297,9.639672277008263,323,16.831896931840465,1.3137671770472444e-45
eIF-5,Third,Control - sPTD,-161.81017369726806,9.613537857215684,323,-16.831490768595387,1.3185773632508023e-45
SPARCL1,Second,Control - sPTD,-187.28167826270547,11.37382830121892,369,-16.466019470562493,1.380800468679824e-45
Glucagon,Third,Control - sPTD,161.2258064516103,9.584347529794139,323,16.821782176660413,1.438945244999776e-45
Integrin a1b1,Third,Control - sPTD,-161.3517369727022,9.592024609451405,323,-16.821447352597062,1.4432868367957208e-45
PF-4,Third,Control - sPTD,-161.20967741935226,9.584157778568033,323,-16.82043233677217,1.4565285083945765e-45
P-Selectin,Second,Control - sPTD,-187.287581699349,11.378758988835063,369,-16.459403163659342,1.470629718977227e-45
NCC27,Third,Control - sPTD,-161.19354838709427,9.583966306328259,323,-16.81908546367267,1.474287190843313e-45
LRRT3,Third,Control - sPTD,162.85272952853393,9.686151239758038,323,16.812945152052162,1.558030434878139e-45
Cystatin-S,Third,Control - sPTD,161.1129032258039,9.582983126281325,323,16.812395587335626,1.565753486235315e-45
b-Endorphin,Third,Control - sPTD,161.09677419354597,9.582781325760605,323,16.811066507432734,1.5845896434306354e-45
Ubiquitin,Third,Control - sPTD,-161.54367245657335,9.609516605779067,323,-16.810801113494367,1.5883779378884554e-45
RBP,Third,Control - sPTD,-161.1090570719578,9.584222890306672,323,-16.809819524846496,1.602468194549011e-45
TNF sR-I,Third,Control - sPTD,161.0645161290297,9.582372559343321,323,16.808417240256773,1.622814364258219e-45
PPIE,Third,Control - sPTD,-162.15099255582896,9.650000098358756,323,-16.80321149254777,1.700630852607692e-45
JAK2,Third,Control - sPTD,160.99999999999767,9.581534361900696,323,16.803154267252452,1.7015066732562244e-45
Flt-3,Third,Control - sPTD,-160.99999999999756,9.581534361900696,323,-16.803154267252438,1.7015066732564428e-45
IL-13,Third,Control - sPTD,160.99999999999744,9.58153436190069,323,16.803154267252438,1.7015066732564428e-45
PCI,Third,Control - sPTD,160.99999999999756,9.581534361900696,323,16.803154267252438,1.7015066732564428e-45
PDE11,Third,Control - sPTD,-160.99999999999756,9.581534361900696,323,-16.803154267252438,1.7015066732564428e-45
gpIIbIIIa,Third,Control - sPTD,-160.99999999999744,9.58153436190069,323,-16.803154267252438,1.7015066732564428e-45
Albumin,Third,Control - sPTD,160.99999999999747,9.581534361900696,323,16.80315426725243,1.7015066732565645e-45
CDON,Third,Control - sPTD,160.99999999999756,9.581534361900701,323,16.80315426725243,1.7015066732565645e-45
FYN,Third,Control - sPTD,-160.99999999999756,9.581534361900701,323,-16.80315426725243,1.7015066732565645e-45
NSF1C,Third,Control - sPTD,-160.99999999999747,9.581534361900696,323,-16.80315426725243,1.7015066732565645e-45
CONA1,Third,Control - sPTD,-160.99999999999753,9.581534361900701,323,-16.803154267252427,1.701506673256637e-45
a2-Macroglobulin,Third,Control - sPTD,-160.99999999999744,9.581534361900696,323,-16.803154267252427,1.701506673256637e-45
Cyclophilin F,Third,Control - sPTD,-160.99999999999739,9.581534361900696,323,-16.80315426725242,1.701506673256734e-45
ULBP-2,Third,Control - sPTD,160.99999999999727,9.581534361900696,323,16.80315426725241,1.701506673256855e-45
IF4G2,Third,Control - sPTD,-160.9800248138933,9.582573393216853,323,-16.799247781169626,1.762372924888014e-45
PCSK7,Third,Control - sPTD,160.98002481389332,9.582573393216853,323,16.799247781169626,1.762372924888014e-45
H6ST1,Third,Control - sPTD,160.9761786600472,9.583824477866091,323,16.796653468750684,1.803992293475629e-45
IL-7,Third,Control - sPTD,161.2157568238188,9.598098572347768,323,16.796634834349717,1.8042947629718798e-45
PDPK1,Third,Control - sPTD,-160.9600496277892,9.583612182984714,323,-16.795342565464697,1.8253947169441447e-45
DAF,Third,Control - sPTD,160.9600496277891,9.583612182984714,323,16.795342565464683,1.8253947169443267e-45
TAJ,Third,Control - sPTD,160.9600496277891,9.583612182984714,323,16.795342565464683,1.8253947169443267e-45
Stress-induced-phosphoprotein 1,Third,Control - sPTD,-160.98461538461294,9.58652853714237,323,-16.792795719627676,1.8677039933612355e-45
DRG-1,Third,Control - sPTD,-160.94007444168489,9.584650731282832,323,-16.79143861929169,1.8906476125480135e-45
IL-17B R,Second,Control - sPTD,186.49146110057205,11.348776565511846,369,16.43273704650304,1.8958664825803203e-45
Protein disulfide isomerase A3,Third,Control - sPTD,-160.92009925558065,9.585689038189681,323,-16.78753594180554,1.9582097964597997e-45
MK12,Third,Control - sPTD,-161.42382133994795,9.615750020239938,323,-16.787439461318275,1.9599102620534717e-45
SNAA,Third,Control - sPTD,-160.93238213399263,9.587150458456927,323,-16.786258109888372,1.9808516206905577e-45
IGFBP-5,Third,Control - sPTD,160.9001240694765,9.586727103783687,323,16.78363453216192,2.028162165085908e-45
ALT,Third,Control - sPTD,-162.53325062034537,9.685033879457459,323,-16.781897992642875,2.06009646214862e-45
UNC5H4,Second,Control - sPTD,184.86769976808296,11.257191397091013,369,16.422186782384713,2.096243097468328e-45
PDGF-BB,Third,Control - sPTD,-160.88014888337224,9.587764928143258,323,-16.77973438951719,2.1005884195448882e-45
VEGF sR3,Third,Control - sPTD,160.89243176178422,9.589226190469155,323,16.77845829955467,2.124842501753532e-45
TNF sR-I,Second,Control - sPTD,185.0024246257678,11.274757739685578,369,16.40854986840072,2.386905266117538e-45
LYVE1,Third,Control - sPTD,160.8002481389554,9.59191381480278,323,16.764146472083542,2.416809963837525e-45
Soggy-1,Second,Control - sPTD,-184.66129032258428,11.25500563844585,369,-16.407036678133846,2.4215438516840956e-45
NACA,Third,Control - sPTD,-160.7602977667469,9.593986812759901,323,-16.756360093484535,2.5921631527584532e-45
CTAP-III,Third,Control - sPTD,-161.20334987592832,9.622392429712928,323,-16.75293863282373,2.673185009306566e-45
NAP-2,Third,Control - sPTD,-160.9514888337444,9.607786974710223,323,-16.752191660514914,2.6912076258609217e-45
NUDC3,Third,Control - sPTD,-160.90694789081653,9.606036689353857,323,-16.750607258157352,2.7298384284663587e-45
IGFBP-6,Second,Control - sPTD,184.4354838709716,11.253439408084839,369,16.38925462543186,2.868243369784817e-45
Apo B,Third,Control - sPTD,-163.1064516129015,9.740923129776432,323,-16.744455267726256,2.885163254617661e-45
IL-13,Second,Control - sPTD,184.4707990723208,11.257699709890298,369,16.38618934827836,2.9531725817704345e-45
NR1D1,Third,Control - sPTD,161.20310173697294,9.629115521254286,323,16.74121588645918,2.970470046632042e-45
EP15R,Third,Control - sPTD,-160.68039702232988,9.598129921050568,323,-16.74080246298047,2.98153713708312e-45
MICA,Third,Control - sPTD,163.64627791563146,9.775535113527472,323,16.740390783229483,2.99259850355948e-45
PTHrP,Third,Control - sPTD,161.08014888337502,9.629741027358982,323,16.72736041662299,3.3647314484353227e-45
SET,Second,Control - sPTD,186.59993674889594,11.400416000579975,369,16.367818221668667,3.517494387639851e-45
Soggy-1,Third,Control - sPTD,-160.70260545905472,9.612538144138172,323,-16.718020053533195,3.659621057728733e-45
TIMP-1,Second,Control - sPTD,184.24478178368486,11.261064990835866,369,16.361221779078736,3.745410035397705e-45
IL-7 Ra,Third,Control - sPTD,160.5566997518585,9.60558510374776,323,16.71493178371976,3.762697913724815e-45
GAS1,Third,Control - sPTD,163.05868486352193,9.755715950609178,323,16.714168974276053,3.788601926020404e-45
CAMK2B,Second,Control - sPTD,184.00000000000375,11.249729928879727,369,16.355948201711797,3.9381853366353167e-45
CAMK2D,Second,Control - sPTD,184.0000000000037,11.249729928879727,369,16.35594820171179,3.938185336635598e-45
Clusterin,Second,Control - sPTD,184.0000000000037,11.249729928879727,369,16.35594820171179,3.938185336635598e-45
Flt-3,Second,Control - sPTD,-184.00000000000367,11.249729928879727,369,-16.35594820171179,3.938185336635598e-45
TSP4,Second,Control - sPTD,184.00000000000372,11.249729928879733,369,16.355948201711787,3.9381853366358786e-45
PIM1,Second,Control - sPTD,-184.00000000000034,11.249729928879736,369,-16.35594820171148,3.9381853366471684e-45
FGFR-3,Third,Control - sPTD,161.3884615384619,9.658914706837912,323,16.708757291769945,3.9775659207944654e-45
Rab GDP dissociation inhibitor beta,Third,Control - sPTD,-162.01091811414187,9.697736452730544,323,-16.70605495455852,4.075423409199094e-45
PCSK7,Second,Control - sPTD,183.9773350200333,11.251602866203223,369,16.351211219216733,4.1197813126325676e-45
FER,Second,Control - sPTD,184.3666455829682,11.27863572626584,369,16.346537831132594,4.3071350788327816e-45
LAG-3,Third,Control - sPTD,161.77977667493587,9.692363368923596,323,16.691468377428635,4.6467153168819873e-45
PCI,Second,Control - sPTD,186.5812776723617,11.422858635802081,369,16.33402667591189,4.85166541681021e-45
FABP,Third,Control - sPTD,160.4007444168709,9.61259893694014,323,16.686511677967633,4.8585374458684295e-45
PLXC1,Third,Control - sPTD,160.38076923076972,9.613632364135986,323,16.682640146410858,5.030676730110479e-45
Apo B,Second,Control - sPTD,-186.1138519924128,11.399504577862874,369,-16.32648600833358,5.212543844014699e-45
Integrin a1b1,Second,Control - sPTD,183.80602993886112,11.258319852742275,369,16.326239824683082,5.224767170738778e-45
SET,Third,Control - sPTD,162.94640198511019,9.771061933552552,323,16.67642709597137,5.319758676999803e-45
CK2-A2:B,Third,Control - sPTD,-160.45446650123824,9.622286550631417,323,-16.67529496829516,5.374195648236322e-45
PARK7,Third,Control - sPTD,160.87369727046917,9.651830664158751,323,16.66768749558153,5.754717928504091e-45
PKC-B-II,Second,Control - sPTD,186.3593717056743,11.423368925401727,369,16.313871408921568,5.8771895256361e-45
Livin B,Second,Control - sPTD,183.7090449082861,11.26260896290391,369,16.311411104955848,6.01636608678119e-45
MMP-2,Second,Control - sPTD,-183.74804975753761,11.266071581772998,369,-16.309859956403745,6.10580014451612e-45
GFRa-1,Third,Control - sPTD,160.29776674937722,9.624174455286736,323,16.65574200614399,6.407293647999172e-45
IGFBP-1,Second,Control - sPTD,-183.6120598777182,11.266894177827604,369,-16.296599309422188,6.926646724757177e-45
Protein C,Second,Control - sPTD,183.6120598777147,11.266894177827593,369,16.296599309421893,6.926646724776838e-45
TWEAKR,Second,Control - sPTD,183.5926628716041,11.267750753774935,369,16.293638977601333,7.124450675852804e-45
CAMK2A,Second,Control - sPTD,183.59266287160378,11.26775075377494,369,16.293638977601297,7.12445067585504e-45
C1r,Third,Control - sPTD,160.16488833746948,9.625814916074134,323,16.639099103184538,7.441596610820821e-45
CNTN2,Third,Control - sPTD,162.159553349874,9.747108976383865,323,16.636682091353254,7.605089317162806e-45
Prothrombin,Second,Control - sPTD,-184.07031414716454,11.303640458547642,369,-16.284162153085234,7.796421383645554e-45
SHC1,Third,Control - sPTD,-160.12109181141176,9.627024268233916,323,-16.6324595586364,7.89937380242094e-45
Calcineurin B a,Second,Control - sPTD,-184.017077798865,11.303633693140078,369,-16.279462232621782,8.15280309980502e-45
LRIG3,Third,Control - sPTD,160.89044665012176,9.68019373564124,323,16.620581265614927,8.789699090834256e-45
Cathepsin S,Third,Control - sPTD,160.041191066995,9.631136746897427,323,16.617061440701757,9.072301361880154e-45
PERL,Third,Control - sPTD,160.0212158808908,9.632164271590826,323,16.613214991864137,9.391522926803633e-45
Transketolase,Third,Control - sPTD,-162.99292803970124,9.813166959717625,323,-16.60961529634378,9.700428048793311e-45
NDP kinase B,Third,Control - sPTD,-159.98126550868236,9.634218607543747,323,-16.60552578528937,1.0063706814750208e-44
SIRT2,Second,Control - sPTD,-184.82669196711265,11.36885059307085,369,-16.257289200349053,1.0066403246645686e-44
Cadherin-6,Third,Control - sPTD,-160.25769230768984,9.652627557654256,323,-16.602494124059525,1.0341763565820458e-44
LIN7B,Second,Control - sPTD,183.36295593506594,11.282202034596416,369,16.252408472458733,1.0544536423748917e-44
NR1D1,Second,Control - sPTD,183.42831541218675,11.28786980168063,369,16.250038194529534,1.0784855620244105e-44
RBP,Second,Control - sPTD,-183.32416192283722,11.28391038611384,369,-16.246509911000256,1.1152754684888051e-44
ULBP-1,Second,Control - sPTD,183.92863166772116,11.322268077549856,369,16.244857515114003,1.132933712820626e-44
FABPE,Third,Control - sPTD,161.47729528535976,9.734631383369651,323,16.58792089048412,1.1789387625295694e-44
CD27,Third,Control - sPTD,-161.77320099255408,9.75543275641201,323,-16.582883100313975,1.233556033138005e-44
ECM1,Third,Control - sPTD,161.49913151364555,9.741228191868133,323,16.578929097304506,1.2781890217081957e-44
contactin-1,Second,Control - sPTD,186.09487666034354,11.47394712284571,369,16.218906594907615,1.4498904929623122e-44
PTHrP,Second,Control - sPTD,185.9838709677436,11.47006600038263,369,16.21471672103189,1.5087917170529524e-44
IL-22BP,Third,Control - sPTD,162.30645161290164,9.802078016254027,323,16.55837173951905,1.537607380515609e-44
amyloid precursor protein,Second,Control - sPTD,-185.991039426525,11.472368260307215,369,-16.21208761838895,1.5469660678033424e-44
TCCR,Third,Control - sPTD,162.6900744416863,9.828100671888853,323,16.553562063830494,1.605536048848385e-44
LAG-3,Second,Control - sPTD,185.94201981868193,11.472602355536276,369,16.207484061273405,1.6161477818803607e-44
Glucocorticoid receptor,Second,Control - sPTD,185.98028673835321,11.478008377411314,369,16.203184439589872,1.6835504497164293e-44
MATK,Third,Control - sPTD,159.80756823821093,9.657604292323668,323,16.547330311020687,1.698029177065562e-44
PGRP-S,Third,Control - sPTD,161.2947890818839,9.748923924865887,323,16.54488129407603,1.7358191586808068e-44
NOTC2,Second,Control - sPTD,185.81825848619184,11.47409248169866,369,16.194593061069934,1.8267601585995437e-44
EphA5,Third,Control - sPTD,159.63784119106452,9.652882620183485,323,16.537841334284252,1.8491970455342595e-44
GPC5,Second,Control - sPTD,185.44117647058957,11.452230199296933,369,16.192581990010474,1.8620035145431033e-44
FCGR1,Third,Control - sPTD,162.55384615384526,9.83073504280482,323,16.535268771465823,1.8924496000410233e-44
Glucagon,Second,Control - sPTD,185.45467004006022,11.456963733830923,369,16.187069658991476,1.962126684121005e-44
IL-17 RC,Second,Control - sPTD,-185.05418511490905,11.437662051698739,369,-16.179371647672045,2.1110118236619878e-44
WFKN1,Third,Control - sPTD,159.4619106699726,9.660838678141074,323,16.506011122075382,2.461576135853832e-44
SIRT2,Third,Control - sPTD,-159.4419354838684,9.661859336278571,323,-16.502200035679692,2.547336491175727e-44
ULBP-2,Second,Control - sPTD,182.6616065781189,11.30868406795809,369,16.152330853036243,2.7292742598569415e-44
XPNPEP1,Third,Control - sPTD,-159.3820099255559,9.664919897086833,323,-16.49077401806468,2.8227705669317523e-44
Cyclophilin A,Second,Control - sPTD,-185.34840818047815,11.488952847153813,369,-16.132750359959477,3.2870566204395676e-44
PTN,Third,Control - sPTD,159.85955334987352,9.707586736520055,323,16.467486481318783,3.479734245070002e-44
TrkB,Third,Control - sPTD,159.24218362282636,9.672052969178957,323,16.464155451822773,3.5854467747329774e-44
AN32B,Third,Control - sPTD,160.72022332506003,9.762538715484313,323,16.46295374687145,3.6243665177128023e-44
FABPE,Second,Control - sPTD,182.84767025089644,11.34304936766733,369,16.119798506043054,3.7172210313820307e-44
ITI heavy chain H4,Third,Control - sPTD,159.63684863523338,9.700032439058708,323,16.457352038579838,3.8114354886670695e-44
PDGF-AA,Third,Control - sPTD,-160.64342431761577,9.762026892310686,323,-16.455949782739353,3.8597549334710103e-44
Triosephosphate isomerase,Third,Control - sPTD,-161.96277915632677,9.851589825136514,323,-16.44026822382269,4.4436682438796524e-44
BSP,Second,Control - sPTD,183.59919881931575,11.405026325879298,369,16.098095135712956,4.567760545173182e-44
CAMK2A,Third,Control - sPTD,-159.40794044664767,9.7039408634015,323,-16.427134366395013,5.000114575439361e-44
FLRT1,Third,Control - sPTD,-161.02171215880702,9.808260823773912,323,-16.416948432744768,5.479177929923671e-44
CAMK2D,Third,Control - sPTD,-159.26277915632517,9.702486258169815,323,-16.414635890076177,5.594179219874629e-44
MMP-12,Third,Control - sPTD,160.4321339950352,9.77499580055565,323,16.412501577332193,5.702456730643811e-44
IFN-g R1,Third,Control - sPTD,158.96253101736733,9.686284607515612,323,16.411094393615887,5.774988911315368e-44
IL-13 Ra1,Second,Control - sPTD,-184.09909340080424,11.455138825667024,369,-16.071310544775024,5.889938387038091e-44
MRCKB,Third,Control - sPTD,-160.20099255582917,9.769365310006366,323,-16.39830096144954,6.478196172902379e-44
UNC5H3,Third,Control - sPTD,159.74106699751624,9.745939852957237,323,16.390524608978126,6.946810810236389e-44
TRAIL R1,Third,Control - sPTD,160.1449131513627,9.771435414006666,323,16.38908782243049,7.0370311163489565e-44
Cyclophilin F,Second,Control - sPTD,-183.86063672781236,11.454317420560047,369,-16.051644980414963,7.09828483937385e-44
Apo A-I,Second,Control - sPTD,-184.66118490407177,11.505518466560208,369,-16.049792579167423,7.224143811549455e-44
PA2G4,Second,Control - sPTD,-181.96637149483837,11.34331408783957,369,-16.041729082500915,7.79849657445848e-44
Thrombospondin-1,Third,Control - sPTD,-160.80732009925387,9.824300688562014,323,-16.3683223057774,8.47965167523526e-44
FN1.3,Second,Control - sPTD,-183.76344086021808,11.461652533001129,369,-16.032892319071316,8.480437373518539e-44
MDHC,Third,Control - sPTD,-161.50397022332368,9.869574427639076,323,-16.363823122002376,8.829260417900809e-44
IGFBP-3,Third,Control - sPTD,158.6828784119111,9.700470406733306,323,16.358266327142847,9.280996973892931e-44
HSP70 protein 8,Third,Control - sPTD,158.68287841190826,9.700470406733293,323,16.358266327142573,9.280996973915832e-44
Activin AB,Third,Control - sPTD,-160.78188585607754,9.834968833920655,323,-16.347981226086176,1.0178941779891444e-43
Angiotensinogen,Second,Control - sPTD,-181.78526249209733,11.352888260120068,369,-16.012248013632327,1.0314760471395268e-43
PDPK1,Second,Control - sPTD,181.7819945182413,11.3538836275742,369,16.010556429939356,1.0481574326271084e-43
Galectin-2,Second,Control - sPTD,184.49125026354795,11.523560933933469,369,16.009916667362425,1.0545363830249387e-43
H6ST1,Second,Control - sPTD,181.71115327851936,11.350104405478282,369,16.009645972138724,1.0572470945276679e-43
DERM,Third,Control - sPTD,158.59528535979913,9.706978227027209,323,16.33827558387029,1.110577686660547e-43
TWEAKR,Third,Control - sPTD,158.60756823821094,9.708424046570913,323,16.337107596184193,1.1222853090067336e-43
EphA5,Second,Control - sPTD,181.64294750158498,11.360763553343057,369,15.988621420444414,1.2905115317245641e-43
CAMK1,Second,Control - sPTD,-184.21289268395662,11.521823877545517,369,-15.988171199436813,1.2960322798365388e-43
Epithelial cell kinase,Third,Control - sPTD,160.0064516129011,9.805274178622694,323,16.318406675638368,1.3274551854007005e-43
CSF-1,Second,Control - sPTD,-182.88762386675432,11.442343173075173,369,-15.983406641491472,1.3559224499426212e-43
AN32B,Second,Control - sPTD,183.12218005482075,11.457086159632485,369,15.98331176909774,1.3571426449042078e-43
UBE2N,Second,Control - sPTD,-184.39004849251697,11.539449278161788,369,-15.979102992503464,1.4123915895692768e-43
ATS1,Third,Control - sPTD,159.92580645161087,9.805751648810926,323,16.309387814345058,1.439403584833391e-43
M-CSF R,Second,Control - sPTD,183.56894370651582,11.492042570139523,369,15.973569762393174,1.4884593214632065e-43
AIF1,Third,Control - sPTD,-158.28337468982386,9.720656715070598,323,-16.283197661370586,1.8208860862918117e-43
YES,Third,Control - sPTD,-158.27952853597768,9.721886727233485,323,-16.280741894739045,1.861468208223189e-43
LIGHT,Third,Control - sPTD,-158.30409429280155,9.724776139780857,323,-16.278430682350788,1.900486814746962e-43
RANTES,Second,Control - sPTD,-183.31024667931786,11.502304008239415,369,-15.936828530006485,2.108510270589643e-43
STX1a,Second,Control - sPTD,-181.98829854522796,11.43056234725608,369,-15.921202563486693,2.444998460401173e-43
MDM2,Third,Control - sPTD,-158.08362282878159,9.730715123088054,323,-16.245838135133233,2.546243548070568e-43
MFGM,Third,Control - sPTD,158.18114143920346,9.737104576917796,323,16.245192828079336,2.5610313754821704e-43
GFRa-2,Third,Control - sPTD,160.88349875930453,9.911992202592858,323,16.231197066238547,2.9037440483447777e-43
DSC3,Third,Control - sPTD,158.00372208436482,9.73473202315327,323,16.23092671771198,2.910796708019923e-43
RAP,Second,Control - sPTD,181.21136411553894,11.402708681278336,369,15.891957707650889,3.2254828072818455e-43
annexin VI,Third,Control - sPTD,-157.93995037220594,9.738969717872148,323,-16.21731609683185,3.2888951737565557e-43
NADPH-P450 Oxidoreductase,Third,Control - sPTD,-159.80732009925543,9.855237681423976,323,-16.21547092674126,3.3437977793585446e-43
OBCAM,Third,Control - sPTD,-158.80223325061814,9.79332545635018,323,-16.215353401499357,3.3473255815724323e-43
CO8A1,Third,Control - sPTD,159.4348635235711,9.832628335195327,323,16.21487745579513,3.36165030694968e-43
TIMD3,Third,Control - sPTD,158.52965260545665,9.77763323818791,323,16.213499600935837,3.403466471824995e-43
Cyclophilin A,Third,Control - sPTD,-158.65632754342204,9.788405837108476,323,-16.2085972101755,3.55650771744899e-43
Gro-b/g,Third,Control - sPTD,-160.26377171215705,9.89128198327656,323,-16.202527840488123,3.755540328955489e-43
M2-PK,Second,Control - sPTD,181.5854944128192,11.438469803686782,369,15.874981315620696,3.788078970849926e-43
Apo A-I,Third,Control - sPTD,-158.16985111662567,9.76452221942575,323,-16.198421956781374,3.8964589227574554e-43
PTN,Second,Control - sPTD,180.78009698503433,11.390324995841757,369,15.871373033783614,3.919748801096926e-43
LY86,Third,Control - sPTD,-160.20310173697098,9.892121137311637,323,-16.195020209842383,4.017204729057689e-43
sRAGE,Second,Control - sPTD,183.100147585919,11.538976872595763,369,15.86797075750872,4.048085551445669e-43
BSSP4,Third,Control - sPTD,160.582009925557,9.917500083006889,323,16.191783068467604,4.1355782665172984e-43
PSME1,Third,Control - sPTD,-159.41786600496076,9.84747923433123,323,-16.188697859771345,4.251638680955882e-43
IMB1,Third,Control - sPTD,-157.74404466500977,9.747761512973252,323,-16.182591711447692,4.491025402379214e-43
Coagulation Factor VII,Second,Control - sPTD,183.4209361163837,11.568231220457884,369,15.855573131354102,4.5522783279567304e-43
SGTA,Third,Control - sPTD,-158.4772952853575,9.801785259572082,323,-16.168207228432607,5.109555070192228e-43
LG3BP,Third,Control - sPTD,157.6441687344888,9.752762520324897,323,16.164052842049223,5.3035467833360224e-43
4-1BB,Third,Control - sPTD,157.62419354838462,9.753762034146108,323,16.16034848877506,5.482722758622627e-43
Protein disulfide-isomerase,Third,Control - sPTD,160.37146401984984,9.929896021696266,323,16.150366899053846,5.996209480006346e-43
