chromosome,gene,transcript,canonical,lof.oe_ci.upper,lof.oe_ci.upper_bin_decile,trimester,group,uni_prot,protein,rowsum,rank,norm_rank
NA,ACVRL1,NM_000020.3,TRUE,0.57,NA,Second,sPTD,P37023,ALK-1,91062,340,0.2918454935622318
NA,ACVRL1,NM_000020.3,TRUE,0.57,NA,Second,PPROM,P37023,ALK-1,81558,31.5,0.02703862660944206
NA,ACVRL1,NM_000020.3,TRUE,0.57,NA,Third,Control,P37023,ALK-1,109340,308,0.26437768240343346
NA,ACVRL1,NM_000020.3,TRUE,0.57,NA,Third,sPTD,P37023,ALK-1,21481,55,0.04721030042918455
NA,ACVRL1,NM_000020.3,TRUE,0.57,NA,Third,PPROM,P37023,ALK-1,199153,336,0.28841201716738196
chr12,ACVRL1,ENST00000388922,TRUE,0.57,1,Second,Control,P37023,ALK-1,144607,417,0.3579399141630901
chr12,ACVRL1,ENST00000388922,TRUE,0.57,1,Second,sPTD,P37023,ALK-1,91062,340,0.2918454935622318
chr12,ACVRL1,ENST00000388922,TRUE,0.57,1,Second,PPROM,P37023,ALK-1,81558,31.5,0.02703862660944206
chr12,ACVRL1,ENST00000388922,TRUE,0.57,1,Third,Control,P37023,ALK-1,109340,308,0.26437768240343346
chr12,ACVRL1,ENST00000388922,TRUE,0.57,1,Third,sPTD,P37023,ALK-1,21481,55,0.04721030042918455
chr12,ACVRL1,ENST00000388922,TRUE,0.57,1,Third,PPROM,P37023,ALK-1,199153,336,0.28841201716738196
NA,ACY1,NM_000666.3,TRUE,0.9,NA,Second,Control,Q03154,Aminoacylase-1,30381,74,0.06351931330472103
NA,ACY1,NM_000666.3,TRUE,0.9,NA,Second,sPTD,Q03154,Aminoacylase-1,51225,112,0.096137339055794
NA,ACY1,NM_000666.3,TRUE,0.9,NA,Second,PPROM,Q03154,Aminoacylase-1,130161,353,0.30300429184549355
NA,ACY1,NM_000666.3,TRUE,0.9,NA,Third,Control,Q03154,Aminoacylase-1,38895,100,0.08583690987124463
NA,ACY1,NM_000666.3,TRUE,0.9,NA,Third,sPTD,Q03154,Aminoacylase-1,12725,21,0.01802575107296137
NA,ACY1,NM_000666.3,TRUE,0.9,NA,Third,PPROM,Q03154,Aminoacylase-1,199153,336,0.28841201716738196
chr3,ACY1,ENST00000636358,TRUE,0.9,4,Second,Control,Q03154,Aminoacylase-1,30381,74,0.06351931330472103
chr3,ACY1,ENST00000636358,TRUE,0.9,4,Second,sPTD,Q03154,Aminoacylase-1,51225,112,0.096137339055794
chr3,ACY1,ENST00000636358,TRUE,0.9,4,Second,PPROM,Q03154,Aminoacylase-1,130161,353,0.30300429184549355
chr3,ACY1,ENST00000636358,TRUE,0.9,4,Third,Control,Q03154,Aminoacylase-1,38895,100,0.08583690987124463
chr3,ACY1,ENST00000636358,TRUE,0.9,4,Third,sPTD,Q03154,Aminoacylase-1,12725,21,0.01802575107296137
chr3,ACY1,ENST00000636358,TRUE,0.9,4,Third,PPROM,Q03154,Aminoacylase-1,199153,336,0.28841201716738196
NA,ADAM12,NM_001288973.2,TRUE,0.818,NA,Second,Control,O43184,ADAM12,229821,618,0.5304721030042918
NA,ADAM12,NM_001288973.2,TRUE,0.818,NA,Second,sPTD,O43184,ADAM12,60446,158,0.1356223175965665
NA,ADAM12,NM_001288973.2,TRUE,0.818,NA,Second,PPROM,O43184,ADAM12,303639,1071.5,0.9197424892703864
NA,ADAM12,NM_001288973.2,TRUE,0.818,NA,Third,Control,O43184,ADAM12,102086,287,0.2463519313304721
NA,ADAM12,NM_001288973.2,TRUE,0.818,NA,Third,sPTD,O43184,ADAM12,30632,105,0.09012875536480688
NA,ADAM12,NM_001288973.2,TRUE,0.818,NA,Third,PPROM,O43184,ADAM12,366299,1099.5,0.9437768240343348
chr10,ADAM12,ENST00000448723,TRUE,0.818,3,Second,Control,O43184,ADAM12,229821,618,0.5304721030042918
chr10,ADAM12,ENST00000448723,TRUE,0.818,3,Second,sPTD,O43184,ADAM12,60446,158,0.1356223175965665
chr10,ADAM12,ENST00000448723,TRUE,0.818,3,Second,PPROM,O43184,ADAM12,303639,1071.5,0.9197424892703864
chr10,ADAM12,ENST00000448723,TRUE,0.818,3,Third,Control,O43184,ADAM12,102086,287,0.2463519313304721
chr10,ADAM12,ENST00000448723,TRUE,0.818,3,Third,sPTD,O43184,ADAM12,30632,105,0.09012875536480688
chr10,ADAM12,ENST00000448723,TRUE,0.818,3,Third,PPROM,O43184,ADAM12,366299,1099.5,0.9437768240343348
NA,ADAM9,NM_003816.3,TRUE,0.575,NA,Second,Control,Q13443,ADAM 9,49891,129,0.11072961373390558
NA,ADAM9,NM_003816.3,TRUE,0.575,NA,Second,sPTD,Q13443,ADAM 9,103971,419,0.35965665236051503
NA,ADAM9,NM_003816.3,TRUE,0.575,NA,Second,PPROM,Q13443,ADAM 9,179723,507,0.4351931330472103
NA,ADAM9,NM_003816.3,TRUE,0.575,NA,Third,Control,Q13443,ADAM 9,61523,146,0.12532188841201716
NA,ADAM9,NM_003816.3,TRUE,0.575,NA,Third,sPTD,Q13443,ADAM 9,57155,232,0.19914163090128756
NA,ADAM9,NM_003816.3,TRUE,0.575,NA,Third,PPROM,Q13443,ADAM 9,330589,684,0.5871244635193134
chr8,ADAM9,ENST00000487273,TRUE,0.575,1,Second,Control,Q13443,ADAM 9,49891,129,0.11072961373390558
chr8,ADAM9,ENST00000487273,TRUE,0.575,1,Second,sPTD,Q13443,ADAM 9,103971,419,0.35965665236051503
chr8,ADAM9,ENST00000487273,TRUE,0.575,1,Second,PPROM,Q13443,ADAM 9,179723,507,0.4351931330472103
chr8,ADAM9,ENST00000487273,TRUE,0.575,1,Third,Control,Q13443,ADAM 9,61523,146,0.12532188841201716
chr8,ADAM9,ENST00000487273,TRUE,0.575,1,Third,sPTD,Q13443,ADAM 9,57155,232,0.19914163090128756
chr8,ADAM9,ENST00000487273,TRUE,0.575,1,Third,PPROM,Q13443,ADAM 9,330589,684,0.5871244635193134
NA,ADAMTS1,NM_006988.5,TRUE,0.329,NA,Second,Control,Q9UHI8,ATS1,304150,811,0.696137339055794
NA,ADAMTS1,NM_006988.5,TRUE,0.329,NA,Second,sPTD,Q9UHI8,ATS1,175939,812,0.6969957081545064
NA,ADAMTS1,NM_006988.5,TRUE,0.329,NA,Second,PPROM,Q9UHI8,ATS1,268302,752,0.6454935622317597
NA,ADAMTS1,NM_006988.5,TRUE,0.329,NA,Third,Control,Q9UHI8,ATS1,226844,681,0.5845493562231759
NA,ADAMTS1,NM_006988.5,TRUE,0.329,NA,Third,sPTD,Q9UHI8,ATS1,279197,1012,0.8686695278969957
NA,ADAMTS1,NM_006988.5,TRUE,0.329,NA,Third,PPROM,Q9UHI8,ATS1,366299,1099.5,0.9437768240343348
chr21,ADAMTS1,ENST00000284984,TRUE,0.329,0,Second,Control,Q9UHI8,ATS1,304150,811,0.696137339055794
chr21,ADAMTS1,ENST00000284984,TRUE,0.329,0,Second,sPTD,Q9UHI8,ATS1,175939,812,0.6969957081545064
chr21,ADAMTS1,ENST00000284984,TRUE,0.329,0,Second,PPROM,Q9UHI8,ATS1,268302,752,0.6454935622317597
chr21,ADAMTS1,ENST00000284984,TRUE,0.329,0,Third,Control,Q9UHI8,ATS1,226844,681,0.5845493562231759
chr21,ADAMTS1,ENST00000284984,TRUE,0.329,0,Third,sPTD,Q9UHI8,ATS1,279197,1012,0.8686695278969957
chr21,ADAMTS1,ENST00000284984,TRUE,0.329,0,Third,PPROM,Q9UHI8,ATS1,366299,1099.5,0.9437768240343348
NA,ADAMTS13,NM_139027.6,TRUE,0.917,NA,Second,Control,Q76LX8,ATS13,8516,30,0.02575107296137339
NA,ADAMTS13,NM_139027.6,TRUE,0.917,NA,Second,sPTD,Q76LX8,ATS13,31567,32,0.02746781115879828
NA,ADAMTS13,NM_139027.6,TRUE,0.917,NA,Second,PPROM,Q76LX8,ATS13,85169,95.5,0.08197424892703863
NA,ADAMTS13,NM_139027.6,TRUE,0.917,NA,Third,Control,Q76LX8,ATS13,16102,43,0.03690987124463519
NA,ADAMTS13,NM_139027.6,TRUE,0.917,NA,Third,sPTD,Q76LX8,ATS13,59336,247,0.21201716738197424
NA,ADAMTS13,NM_139027.6,TRUE,0.917,NA,Third,PPROM,Q76LX8,ATS13,253003,504.5,0.4330472103004292
chr9,ADAMTS13,ENST00000355699,TRUE,0.917,4,Second,Control,Q76LX8,ATS13,8516,30,0.02575107296137339
chr9,ADAMTS13,ENST00000355699,TRUE,0.917,4,Second,sPTD,Q76LX8,ATS13,31567,32,0.02746781115879828
chr9,ADAMTS13,ENST00000355699,TRUE,0.917,4,Second,PPROM,Q76LX8,ATS13,85169,95.5,0.08197424892703863
chr9,ADAMTS13,ENST00000355699,TRUE,0.917,4,Third,Control,Q76LX8,ATS13,16102,43,0.03690987124463519
chr9,ADAMTS13,ENST00000355699,TRUE,0.917,4,Third,sPTD,Q76LX8,ATS13,59336,247,0.21201716738197424
chr9,ADAMTS13,ENST00000355699,TRUE,0.917,4,Third,PPROM,Q76LX8,ATS13,253003,504.5,0.4330472103004292
NA,ADAMTS15,NM_139055.4,TRUE,0.599,NA,Second,Control,Q8TE58,ATS15,387111,1125,0.965665236051502
NA,ADAMTS15,NM_139055.4,TRUE,0.599,NA,Second,sPTD,Q8TE58,ATS15,123004,549,0.47124463519313303
NA,ADAMTS15,NM_139055.4,TRUE,0.599,NA,Second,PPROM,Q8TE58,ATS15,179723,507,0.4351931330472103
NA,ADAMTS15,NM_139055.4,TRUE,0.599,NA,Third,Control,Q8TE58,ATS15,359259,1147,0.984549356223176
NA,ADAMTS15,NM_139055.4,TRUE,0.599,NA,Third,sPTD,Q8TE58,ATS15,47850,191,0.16394849785407725
NA,ADAMTS15,NM_139055.4,TRUE,0.599,NA,Third,PPROM,Q8TE58,ATS15,330589,684,0.5871244635193134
chr11,ADAMTS15,ENST00000299164,TRUE,0.599,2,Second,Control,Q8TE58,ATS15,387111,1125,0.965665236051502
chr11,ADAMTS15,ENST00000299164,TRUE,0.599,2,Second,sPTD,Q8TE58,ATS15,123004,549,0.47124463519313303
chr11,ADAMTS15,ENST00000299164,TRUE,0.599,2,Second,PPROM,Q8TE58,ATS15,179723,507,0.4351931330472103
chr11,ADAMTS15,ENST00000299164,TRUE,0.599,2,Third,Control,Q8TE58,ATS15,359259,1147,0.984549356223176
chr11,ADAMTS15,ENST00000299164,TRUE,0.599,2,Third,sPTD,Q8TE58,ATS15,47850,191,0.16394849785407725
chr11,ADAMTS15,ENST00000299164,TRUE,0.599,2,Third,PPROM,Q8TE58,ATS15,330589,684,0.5871244635193134
NA,ADAMTS4,NM_005099.6,TRUE,0.732,NA,Second,Control,O75173,ADAMTS-4,352876,965,0.8283261802575107
NA,ADAMTS4,NM_005099.6,TRUE,0.732,NA,Second,sPTD,O75173,ADAMTS-4,109199,449,0.3854077253218885
NA,ADAMTS4,NM_005099.6,TRUE,0.732,NA,Second,PPROM,O75173,ADAMTS-4,268302,752,0.6454935622317597
NA,ADAMTS4,NM_005099.6,TRUE,0.732,NA,Third,Control,O75173,ADAMTS-4,300568,959,0.8231759656652361
NA,ADAMTS4,NM_005099.6,TRUE,0.732,NA,Third,sPTD,O75173,ADAMTS-4,233295,841,0.7218884120171674
NA,ADAMTS4,NM_005099.6,TRUE,0.732,NA,Third,PPROM,O75173,ADAMTS-4,366299,1099.5,0.9437768240343348
chr1,ADAMTS4,ENST00000367996,TRUE,0.732,2,Second,Control,O75173,ADAMTS-4,352876,965,0.8283261802575107
chr1,ADAMTS4,ENST00000367996,TRUE,0.732,2,Second,sPTD,O75173,ADAMTS-4,109199,449,0.3854077253218885
chr1,ADAMTS4,ENST00000367996,TRUE,0.732,2,Second,PPROM,O75173,ADAMTS-4,268302,752,0.6454935622317597
chr1,ADAMTS4,ENST00000367996,TRUE,0.732,2,Third,Control,O75173,ADAMTS-4,300568,959,0.8231759656652361
chr1,ADAMTS4,ENST00000367996,TRUE,0.732,2,Third,sPTD,O75173,ADAMTS-4,233295,841,0.7218884120171674
chr1,ADAMTS4,ENST00000367996,TRUE,0.732,2,Third,PPROM,O75173,ADAMTS-4,366299,1099.5,0.9437768240343348
NA,ADAMTS5,NM_007038.5,TRUE,0.818,NA,Second,Control,Q9UNA0,ADAMTS-5,393935,1141,0.9793991416309012
NA,ADAMTS5,NM_007038.5,TRUE,0.818,NA,Second,sPTD,Q9UNA0,ADAMTS-5,92511,349,0.2995708154506438
NA,ADAMTS5,NM_007038.5,TRUE,0.818,NA,Second,PPROM,Q9UNA0,ADAMTS-5,244655,618,0.5304721030042918
NA,ADAMTS5,NM_007038.5,TRUE,0.818,NA,Third,Control,Q9UNA0,ADAMTS-5,353597,1129,0.969098712446352
NA,ADAMTS5,NM_007038.5,TRUE,0.818,NA,Third,sPTD,Q9UNA0,ADAMTS-5,79063,330,0.2832618025751073
NA,ADAMTS5,NM_007038.5,TRUE,0.818,NA,Third,PPROM,Q9UNA0,ADAMTS-5,355847,947,0.8128755364806867
chr21,ADAMTS5,ENST00000284987,TRUE,0.818,3,Second,Control,Q9UNA0,ADAMTS-5,393935,1141,0.9793991416309012
chr21,ADAMTS5,ENST00000284987,TRUE,0.818,3,Second,sPTD,Q9UNA0,ADAMTS-5,92511,349,0.2995708154506438
chr21,ADAMTS5,ENST00000284987,TRUE,0.818,3,Second,PPROM,Q9UNA0,ADAMTS-5,244655,618,0.5304721030042918
chr21,ADAMTS5,ENST00000284987,TRUE,0.818,3,Third,Control,Q9UNA0,ADAMTS-5,353597,1129,0.969098712446352
chr21,ADAMTS5,ENST00000284987,TRUE,0.818,3,Third,sPTD,Q9UNA0,ADAMTS-5,79063,330,0.2832618025751073
chr21,ADAMTS5,ENST00000284987,TRUE,0.818,3,Third,PPROM,Q9UNA0,ADAMTS-5,355847,947,0.8128755364806867
NA,ADCYAP1,NM_001099733.2,TRUE,0.864,NA,Second,Control,P18509,PACAP-38,384123,1105,0.9484978540772532
NA,ADCYAP1,NM_001099733.2,TRUE,0.864,NA,Second,Control,P18509,PACA,348879,949,0.8145922746781116
NA,ADCYAP1,NM_001099733.2,TRUE,0.864,NA,Second,Control,P18509,PACAP-27,258573,678,0.5819742489270386
NA,ADCYAP1,NM_001099733.2,TRUE,0.864,NA,Second,sPTD,P18509,PACAP-27,155432,725,0.6223175965665236
NA,ADCYAP1,NM_001099733.2,TRUE,0.864,NA,Second,sPTD,P18509,PACAP-38,117700,529,0.45407725321888415
NA,ADCYAP1,NM_001099733.2,TRUE,0.864,NA,Second,PPROM,P18509,PACAP-38,145239,424,0.3639484978540773
NA,ADCYAP1,NM_001099733.2,TRUE,0.864,NA,Second,PPROM,P18509,PACAP-27,85169,95.5,0.08197424892703863
NA,ADCYAP1,NM_001099733.2,TRUE,0.864,NA,Third,Control,P18509,PACAP-38,362583,1151,0.9879828326180258
NA,ADCYAP1,NM_001099733.2,TRUE,0.864,NA,Third,Control,P18509,PACA,346836,1115,0.9570815450643776
NA,ADCYAP1,NM_001099733.2,TRUE,0.864,NA,Third,Control,P18509,PACAP-27,230124,689,0.5914163090128756
NA,ADCYAP1,NM_001099733.2,TRUE,0.864,NA,Third,sPTD,P18509,PACAP-38,130916,540,0.463519313304721
NA,ADCYAP1,NM_001099733.2,TRUE,0.864,NA,Third,sPTD,P18509,PACAP-27,87032,407,0.34935622317596565
NA,ADCYAP1,NM_001099733.2,TRUE,0.864,NA,Third,PPROM,P18509,PACAP-38,366299,1099.5,0.9437768240343348
NA,ADCYAP1,NM_001099733.2,TRUE,0.864,NA,Third,PPROM,P18509,PACAP-27,194647,241,0.2068669527896996
chr18,ADCYAP1,ENST00000450565,TRUE,0.864,3,Second,Control,P18509,PACAP-38,384123,1105,0.9484978540772532
chr18,ADCYAP1,ENST00000450565,TRUE,0.864,3,Second,Control,P18509,PACA,348879,949,0.8145922746781116
chr18,ADCYAP1,ENST00000450565,TRUE,0.864,3,Second,Control,P18509,PACAP-27,258573,678,0.5819742489270386
chr18,ADCYAP1,ENST00000450565,TRUE,0.864,3,Second,sPTD,P18509,PACAP-27,155432,725,0.6223175965665236
chr18,ADCYAP1,ENST00000450565,TRUE,0.864,3,Second,sPTD,P18509,PACAP-38,117700,529,0.45407725321888415
chr18,ADCYAP1,ENST00000450565,TRUE,0.864,3,Second,PPROM,P18509,PACAP-38,145239,424,0.3639484978540773
chr18,ADCYAP1,ENST00000450565,TRUE,0.864,3,Second,PPROM,P18509,PACAP-27,85169,95.5,0.08197424892703863
chr18,ADCYAP1,ENST00000450565,TRUE,0.864,3,Third,Control,P18509,PACAP-38,362583,1151,0.9879828326180258
chr18,ADCYAP1,ENST00000450565,TRUE,0.864,3,Third,Control,P18509,PACA,346836,1115,0.9570815450643776
chr18,ADCYAP1,ENST00000450565,TRUE,0.864,3,Third,Control,P18509,PACAP-27,230124,689,0.5914163090128756
chr18,ADCYAP1,ENST00000450565,TRUE,0.864,3,Third,sPTD,P18509,PACAP-38,130916,540,0.463519313304721
chr18,ADCYAP1,ENST00000450565,TRUE,0.864,3,Third,sPTD,P18509,PACAP-27,87032,407,0.34935622317596565
chr18,ADCYAP1,ENST00000450565,TRUE,0.864,3,Third,PPROM,P18509,PACAP-38,366299,1099.5,0.9437768240343348
chr18,ADCYAP1,ENST00000450565,TRUE,0.864,3,Third,PPROM,P18509,PACAP-27,194647,241,0.2068669527896996
