gene,gene_id,transcript,lof.oe_ci.upper,leiden,rowsum,norm_rank,har_id,chr,start,end,overlap_width
HECTD1,ENSG00000092148,ENST00000399332,0.265,15,35020563,0.8443082615482453,ZOOHAR.27,14,31100112,31100271,160
HECTD1,ENSG00000092148,ENST00000399332,0.265,9,32757948,0.8331892826274849,ZOOHAR.27,14,31100112,31100271,160
LRP1,4035,NM_002332.3,0.118,1,42470272,0.813527110117384,ZOOHAR.82,12,57133425,57133539,115
LRP1,4035,NM_002332.3,0.118,15,35786469,0.9030467711163784,ZOOHAR.82,12,57133425,57133539,115
LRP1,4035,NM_002332.3,0.118,9,32916448,0.8422027410791456,ZOOHAR.82,12,57133425,57133539,115
LRP1,ENSG00000123384,ENST00000243077,0.118,1,42470272,0.813527110117384,ZOOHAR.82,12,57133425,57133539,115
LRP1,ENSG00000123384,ENST00000243077,0.118,15,35786469,0.9030467711163784,ZOOHAR.82,12,57133425,57133539,115
LRP1,ENSG00000123384,ENST00000243077,0.118,9,32916448,0.8422027410791456,ZOOHAR.82,12,57133425,57133539,115
LRRC41,10489,NM_006369.5,0.393,1,47926729,0.9052543320290664,ZOOHAR.212,1,46278109,46278161,53
LRRC41,10489,NM_006369.5,0.393,11,54214477,0.9712692242690552,ZOOHAR.212,1,46278109,46278161,53
LRRC41,ENSG00000132128,ENST00000617190,0.393,1,47926729,0.9052543320290664,ZOOHAR.212,1,46278109,46278161,53
LRRC41,ENSG00000132128,ENST00000617190,0.393,11,54214477,0.9712692242690552,ZOOHAR.212,1,46278109,46278161,53
MECOM,2122,NM_004991.4,0.161,15,41663929,0.996097589177314,ZOOHAR.280,3,169573943,169574399,457
MECOM,ENSG00000085276,ENST00000651503,0.161,15,41663929,0.996097589177314,ZOOHAR.280,3,169573943,169574399,457
NSD3,54904,NM_023034.2,0.176,1,41880846,0.801732811626607,ZOOHAR.71,8,38380653,38380744,92
NSD3,54904,NM_023034.2,0.176,9,33514364,0.8718360291394,ZOOHAR.71,8,38380653,38380744,92
NSD3,54904,NM_023034.2,0.176,11,41230430,0.8192777871669201,ZOOHAR.71,8,38380653,38380744,92
NSD3,54904,NM_023034.2,0.176,0,32683071,0.939156588758694,ZOOHAR.71,8,38380653,38380744,92
NSD3,ENSG00000147548,ENST00000317025,0.176,1,41880846,0.801732811626607,ZOOHAR.71,8,38380653,38380744,92
NSD3,ENSG00000147548,ENST00000317025,0.176,9,33514364,0.8718360291394,ZOOHAR.71,8,38380653,38380744,92
NSD3,ENSG00000147548,ENST00000317025,0.176,11,41230430,0.8192777871669201,ZOOHAR.71,8,38380653,38380744,92
NSD3,ENSG00000147548,ENST00000317025,0.176,0,32683071,0.939156588758694,ZOOHAR.71,8,38380653,38380744,92
OLA1,29789,NM_013341.5,0.494,11,47181051,0.9046250915441384,ZOOHAR.123,2,174108989,174109077,89
OLA1,ENSG00000138430,ENST00000284719,0.494,11,47181051,0.9046250915441384,ZOOHAR.123,2,174108989,174109077,89
RABGAP1,23637,NM_012197.4,0.241,9,33518784,0.8719595011729843,ZOOHAR.25,9,122957885,122957947,63
RABGAP1,23637,NM_012197.4,0.241,0,30172412,0.8191616016041106,ZOOHAR.25,9,122957885,122957947,63
RABGAP1,ENSG00000011454,ENST00000373647,0.241,9,33518784,0.8719595011729843,ZOOHAR.25,9,122957885,122957947,63
RABGAP1,ENSG00000011454,ENST00000373647,0.241,0,30172412,0.8191616016041106,ZOOHAR.25,9,122957885,122957947,63
RAP1GAP2,23108,NM_015085.5,0.433,9,36141024,0.9551796518088652,ZOOHAR.200,17,2983230,2983315,86
RAP1GAP2,23108,NM_015085.5,0.433,9,36141024,0.9551796518088652,ZOOHAR.124,17,2983316,2983805,490
RAP1GAP2,ENSG00000132359,ENST00000254695,0.433,9,36141024,0.9551796518088652,ZOOHAR.200,17,2983230,2983315,86
RAP1GAP2,ENSG00000132359,ENST00000254695,0.433,9,36141024,0.9551796518088652,ZOOHAR.124,17,2983316,2983805,490
ROBO2,6092,NM_001378191.1,0.411,0,32831351,0.9501221881070242,ZOOHAR.98,3,76365380,76365546,167
ROBO2,ENSG00000185008,ENST00000461745,0.412,0,32831351,0.9501221881070242,ZOOHAR.98,3,76365380,76365546,167
RTN4,57142,NM_020532.5,0.546,11,54301929,0.9720579122302968,ZOOHAR.5,2,55106823,55107087,265
RTN4,ENSG00000115310,ENST00000337526,0.546,11,54301929,0.9720579122302968,ZOOHAR.5,2,55106823,55107087,265
SDK2,54549,NM_001144952.2,0.554,0,32831351,0.9501221881070242,ZOOHAR.67,17,73382661,73382719,59
SDK2,ENSG00000069188,ENST00000392650,0.554,0,32831351,0.9501221881070242,ZOOHAR.67,17,73382661,73382719,59
SMARCA2,6595,NM_003070.5,0.317,1,51148986,0.9439910564561208,ZOOHAR.100,9,2050812,2050930,119
SMARCA2,6595,NM_003070.5,0.317,1,51148986,0.9439910564561208,ZOOHAR.233,9,2081746,2081802,57
SMARCA2,6595,NM_003070.5,0.317,0,35413844,0.9937966037972304,ZOOHAR.100,9,2050812,2050930,119
SMARCA2,6595,NM_003070.5,0.317,0,35413844,0.9937966037972304,ZOOHAR.233,9,2081746,2081802,57
SMARCA2,ENSG00000080503,ENST00000349721,0.317,1,51148986,0.9439910564561208,ZOOHAR.100,9,2050812,2050930,119
SMARCA2,ENSG00000080503,ENST00000349721,0.317,1,51148986,0.9439910564561208,ZOOHAR.233,9,2081746,2081802,57
SMARCA2,ENSG00000080503,ENST00000349721,0.317,0,35413844,0.9937966037972304,ZOOHAR.100,9,2050812,2050930,119
SMARCA2,ENSG00000080503,ENST00000349721,0.317,0,35413844,0.9937966037972304,ZOOHAR.233,9,2081746,2081802,57
TAB2,23118,NM_001292034.3,0.117,11,45065690,0.8766266689200608,ZOOHAR.178,6,149236657,149236759,103
TAB2,ENSG00000055208,ENST00000637181,0.117,11,45065690,0.8766266689200608,ZOOHAR.178,6,149236657,149236759,103
TEAD1,7003,NM_021961.6,0.276,1,55070211,0.9765231973169368,ZOOHAR.65,11,12817772,12817899,128
TEAD1,7003,NM_021961.6,0.276,9,32504158,0.8210272873194222,ZOOHAR.65,11,12817772,12817899,128
TEAD1,7003,NM_021961.6,0.276,11,57985608,0.9909864233000958,ZOOHAR.65,11,12817772,12817899,128
TEAD1,ENSG00000187079,ENST00000527636,0.276,1,55070211,0.9765231973169368,ZOOHAR.65,11,12817772,12817899,128
TEAD1,ENSG00000187079,ENST00000527636,0.276,9,32504158,0.8210272873194222,ZOOHAR.65,11,12817772,12817899,128
TEAD1,ENSG00000187079,ENST00000527636,0.276,11,57985608,0.9909864233000958,ZOOHAR.65,11,12817772,12817899,128
TNIK,23043,NM_015028.4,0.338,15,34712416,0.8146499392958316,ZOOHAR.24,3,171102069,171102123,55
TNIK,23043,NM_015028.4,0.338,9,34473482,0.9075811828620818,ZOOHAR.24,3,171102069,171102123,55
TNIK,23043,NM_015028.4,0.338,11,48758311,0.921976226691454,ZOOHAR.24,3,171102069,171102123,55
TNIK,ENSG00000154310,ENST00000436636,0.338,15,34712416,0.8146499392958316,ZOOHAR.24,3,171102069,171102123,55
TNIK,ENSG00000154310,ENST00000436636,0.338,9,34473482,0.9075811828620818,ZOOHAR.24,3,171102069,171102123,55
TNIK,ENSG00000154310,ENST00000436636,0.338,11,48758311,0.921976226691454,ZOOHAR.24,3,171102069,171102123,55
TRPS1,7227,NM_014112.5,0.114,11,41958830,0.8313897808574164,ZOOHAR.295,8,115702438,115702753,316
TRPS1,7227,NM_014112.5,0.114,11,41958830,0.8313897808574164,ZOOHAR.141,8,115705131,115705318,188
TRPS1,ENSG00000104447,ENST00000395715,0.114,11,41958830,0.8313897808574164,ZOOHAR.295,8,115702438,115702753,316
TRPS1,ENSG00000104447,ENST00000395715,0.114,11,41958830,0.8313897808574164,ZOOHAR.141,8,115705131,115705318,188
ZBTB16,7704,NM_006006.6,0.245,0,31654417,0.9019988721097814,ZOOHAR.8,11,114229056,114229464,409
ZBTB16,ENSG00000109906,ENST00000335953,0.245,0,31654417,0.9019988721097814,ZOOHAR.8,11,114229056,114229464,409
ZFHX3,463,NM_006885.4,0.189,9,35419792,0.9355475984689468,ZOOHAR.22,16,73095603,73095697,95
ZFHX3,463,NM_006885.4,0.189,9,35419792,0.9355475984689468,ZOOHAR.258,16,73505074,73505197,124
ZFHX3,463,NM_006885.4,0.189,11,51434029,0.948340938538674,ZOOHAR.22,16,73095603,73095697,95
ZFHX3,463,NM_006885.4,0.189,11,51434029,0.948340938538674,ZOOHAR.258,16,73505074,73505197,124
ZFHX3,ENSG00000140836,ENST00000268489,0.189,9,35419792,0.9355475984689468,ZOOHAR.22,16,73095603,73095697,95
ZFHX3,ENSG00000140836,ENST00000268489,0.189,9,35419792,0.9355475984689468,ZOOHAR.258,16,73505074,73505197,124
ZFHX3,ENSG00000140836,ENST00000268489,0.189,11,51434029,0.948340938538674,ZOOHAR.22,16,73095603,73095697,95
ZFHX3,ENSG00000140836,ENST00000268489,0.189,11,51434029,0.948340938538674,ZOOHAR.258,16,73505074,73505197,124
ZMYND11,10771,NM_001370100.5,0.166,9,33863429,0.8864057291023583,ZOOHAR.85,10,189086,189192,107
ZMYND11,10771,NM_001370100.5,0.166,11,50865539,0.9440031547518448,ZOOHAR.85,10,189086,189192,107
ZMYND11,ENSG00000015171,ENST00000381604,0.166,9,33863429,0.8864057291023583,ZOOHAR.85,10,189086,189192,107
ZMYND11,ENSG00000015171,ENST00000381604,0.166,11,50865539,0.9440031547518448,ZOOHAR.85,10,189086,189192,107
