chromosome,gene,transcript,canonical,lof.oe_ci.upper,lof.oe_ci.upper_bin_decile,leiden,rowsum,norm_rank
NA,ABCA2,NM_001606.5,TRUE,0.436,NA,1,27416619,0.3566797093348239
NA,ABCA2,NM_001606.5,TRUE,0.436,NA,15,27181778,0.02780829045499219
NA,ABCA2,NM_001606.5,TRUE,0.436,NA,9,26406559,0.24783923941227312
NA,ABCA2,NM_001606.5,TRUE,0.436,NA,11,25043611,0.34212157061573994
NA,ABCA2,NM_001606.5,TRUE,0.436,NA,0,20235092,0.01961275769158468
chr9,ABCA2,ENST00000341511,TRUE,0.436,1,1,27416619,0.3566797093348239
chr9,ABCA2,ENST00000341511,TRUE,0.436,1,15,27181778,0.02780829045499219
chr9,ABCA2,ENST00000341511,TRUE,0.436,1,9,26406559,0.24783923941227312
chr9,ABCA2,ENST00000341511,TRUE,0.436,1,11,25043611,0.34212157061573994
chr9,ABCA2,ENST00000341511,TRUE,0.436,1,0,20235092,0.01961275769158468
NA,ABCB1,NM_001348946.2,TRUE,0.575,NA,1,23085274,0.20111794298490776
NA,ABCB1,NM_001348946.2,TRUE,0.575,NA,11,20720969,0.124612697876176
chr7,ABCB1,ENST00000622132,TRUE,0.575,1,1,23085274,0.20111794298490776
chr7,ABCB1,ENST00000622132,TRUE,0.575,1,11,20720969,0.124612697876176
NA,ABCC1,NM_004996.4,TRUE,0.564,NA,1,31762891,0.5154276131917273
NA,ABCC1,NM_004996.4,TRUE,0.564,NA,15,34341685,0.7773602358790541
NA,ABCC1,NM_004996.4,TRUE,0.564,NA,9,24083540,0.08217063835041363
NA,ABCC1,NM_004996.4,TRUE,0.564,NA,11,32829126,0.6341051208382626
NA,ABCC1,NM_004996.4,TRUE,0.564,NA,0,26473250,0.44789773795350585
chr16,ABCC1,ENST00000399410,TRUE,0.564,1,1,31762891,0.5154276131917273
chr16,ABCC1,ENST00000399410,TRUE,0.564,1,15,34341685,0.7773602358790541
chr16,ABCC1,ENST00000399410,TRUE,0.564,1,9,24083540,0.08217063835041363
chr16,ABCC1,ENST00000399410,TRUE,0.564,1,11,32829126,0.6341051208382626
chr16,ABCC1,ENST00000399410,TRUE,0.564,1,0,26473250,0.44789773795350585
NA,ABCC5,NM_005688.4,TRUE,0.455,NA,1,34397615,0.6053661263275573
NA,ABCC5,NM_005688.4,TRUE,0.455,NA,15,34655666,0.8095623518529225
NA,ABCC5,NM_005688.4,TRUE,0.455,NA,9,29524647,0.5900728484998148
NA,ABCC5,NM_005688.4,TRUE,0.455,NA,11,50222200,0.937975325333784
NA,ABCC5,NM_005688.4,TRUE,0.455,NA,0,29652187,0.7807506736011028
NA,ABCC5,NM_005688.4,TRUE,0.455,NA,6,176172529,0.5000376704588262
chr3,ABCC5,ENST00000334444,TRUE,0.455,1,1,34397615,0.6053661263275573
chr3,ABCC5,ENST00000334444,TRUE,0.455,1,15,34655666,0.8095623518529225
chr3,ABCC5,ENST00000334444,TRUE,0.455,1,9,29524647,0.5900728484998148
chr3,ABCC5,ENST00000334444,TRUE,0.455,1,11,50222200,0.937975325333784
chr3,ABCC5,ENST00000334444,TRUE,0.455,1,0,29652187,0.7807506736011028
chr3,ABCC5,ENST00000334444,TRUE,0.455,1,6,176172529,0.5000376704588262
NA,ABCD3,NM_002858.4,TRUE,0.484,NA,1,28793691,0.4073225265511458
NA,ABCD3,NM_002858.4,TRUE,0.484,NA,15,32519617,0.5177776493033474
NA,ABCD3,NM_002858.4,TRUE,0.484,NA,9,31480259,0.7520064205457464
NA,ABCD3,NM_002858.4,TRUE,0.484,NA,11,47888815,0.9133569939721706
NA,ABCD3,NM_002858.4,TRUE,0.484,NA,0,27764060,0.5962153017106335
NA,ABCD3,NM_002858.4,TRUE,0.484,NA,6,176172529,0.5000376704588262
chr1,ABCD3,ENST00000370214,TRUE,0.484,1,1,28793691,0.4073225265511458
chr1,ABCD3,ENST00000370214,TRUE,0.484,1,15,32519617,0.5177776493033474
chr1,ABCD3,ENST00000370214,TRUE,0.484,1,9,31480259,0.7520064205457464
chr1,ABCD3,ENST00000370214,TRUE,0.484,1,11,47888815,0.9133569939721706
chr1,ABCD3,ENST00000370214,TRUE,0.484,1,0,27764060,0.5962153017106335
chr1,ABCD3,ENST00000370214,TRUE,0.484,1,6,176172529,0.5000376704588262
NA,ABCE1,NM_002940.3,TRUE,0.466,NA,1,60637691,0.9970374510899944
NA,ABCE1,NM_002940.3,TRUE,0.466,NA,15,35991823,0.915418858761635
NA,ABCE1,NM_002940.3,TRUE,0.466,NA,9,33426855,0.8668971477960242
NA,ABCE1,NM_002940.3,TRUE,0.466,NA,11,51581371,0.949749309898034
NA,ABCE1,NM_002940.3,TRUE,0.466,NA,0,29163642,0.7363243310984398
NA,ABCE1,NM_002940.3,TRUE,0.466,NA,6,176172529,0.5000376704588262
chr4,ABCE1,ENST00000296577,TRUE,0.466,1,1,60637691,0.9970374510899944
chr4,ABCE1,ENST00000296577,TRUE,0.466,1,15,35991823,0.915418858761635
chr4,ABCE1,ENST00000296577,TRUE,0.466,1,9,33426855,0.8668971477960242
chr4,ABCE1,ENST00000296577,TRUE,0.466,1,11,51581371,0.949749309898034
chr4,ABCE1,ENST00000296577,TRUE,0.466,1,0,29163642,0.7363243310984398
chr4,ABCE1,ENST00000296577,TRUE,0.466,1,6,176172529,0.5000376704588262
NA,ABHD13,NM_032859.3,TRUE,0.504,NA,1,33653420,0.5810508664058133
NA,ABHD13,NM_032859.3,TRUE,0.504,NA,15,33468856,0.6666473955021102
NA,ABHD13,NM_032859.3,TRUE,0.504,NA,9,29759205,0.6116187183602914
NA,ABHD13,NM_032859.3,TRUE,0.504,NA,11,26750756,0.4182862937299307
NA,ABHD13,NM_032859.3,TRUE,0.504,NA,0,26471629,0.44758443511498214
NA,ABHD13,NM_032859.3,TRUE,0.504,NA,6,176172529,0.5000376704588262
chr13,ABHD13,ENST00000375898,TRUE,0.504,1,1,33653420,0.5810508664058133
chr13,ABHD13,ENST00000375898,TRUE,0.504,1,15,33468856,0.6666473955021102
chr13,ABHD13,ENST00000375898,TRUE,0.504,1,9,29759205,0.6116187183602914
chr13,ABHD13,ENST00000375898,TRUE,0.504,1,11,26750756,0.4182862937299307
chr13,ABHD13,ENST00000375898,TRUE,0.504,1,0,26471629,0.44758443511498214
chr13,ABHD13,ENST00000375898,TRUE,0.504,1,6,176172529,0.5000376704588262
NA,ABHD17B,NM_001025780.3,TRUE,0.579,NA,1,28878636,0.4116266070430408
NA,ABHD17B,NM_001025780.3,TRUE,0.579,NA,15,30011587,0.15679019483147366
NA,ABHD17B,NM_001025780.3,TRUE,0.579,NA,9,26363870,0.24305469811087788
NA,ABHD17B,NM_001025780.3,TRUE,0.579,NA,11,37967100,0.7586614838600643
NA,ABHD17B,NM_001025780.3,TRUE,0.579,NA,0,24644539,0.24838649038160285
NA,ABHD17B,NM_001025780.3,TRUE,0.579,NA,6,176172529,0.5000376704588262
chr9,ABHD17B,ENST00000333421,TRUE,0.579,1,1,28878636,0.4116266070430408
chr9,ABHD17B,ENST00000333421,TRUE,0.579,1,15,30011587,0.15679019483147366
chr9,ABHD17B,ENST00000333421,TRUE,0.579,1,9,26363870,0.24305469811087788
chr9,ABHD17B,ENST00000333421,TRUE,0.579,1,11,37967100,0.7586614838600643
chr9,ABHD17B,ENST00000333421,TRUE,0.579,1,0,24644539,0.24838649038160285
chr9,ABHD17B,ENST00000333421,TRUE,0.579,1,6,176172529,0.5000376704588262
NA,ABHD2,NM_152924.5,TRUE,0.57,NA,1,34293811,0.6024035774175517
NA,ABHD2,NM_152924.5,TRUE,0.57,NA,15,30722107,0.2333930739434584
NA,ABHD2,NM_152924.5,TRUE,0.57,NA,9,34198527,0.8987529324607977
NA,ABHD2,NM_152924.5,TRUE,0.57,NA,11,26519166,0.40814601994253846
NA,ABHD2,NM_152924.5,TRUE,0.57,NA,0,28013232,0.6238486120684253
NA,ABHD2,NM_152924.5,TRUE,0.57,NA,6,176172529,0.5000376704588262
chr15,ABHD2,ENST00000352732,TRUE,0.57,1,1,34293811,0.6024035774175517
chr15,ABHD2,ENST00000352732,TRUE,0.57,1,15,30722107,0.2333930739434584
chr15,ABHD2,ENST00000352732,TRUE,0.57,1,9,34198527,0.8987529324607977
chr15,ABHD2,ENST00000352732,TRUE,0.57,1,11,26519166,0.40814601994253846
chr15,ABHD2,ENST00000352732,TRUE,0.57,1,0,28013232,0.6238486120684253
chr15,ABHD2,ENST00000352732,TRUE,0.57,1,6,176172529,0.5000376704588262
NA,ABI1,NM_001012750.3,TRUE,0.41,NA,1,40311132,0.7678032420346562
NA,ABI1,NM_001012750.3,TRUE,0.41,NA,15,35617892,0.8921200208128577
NA,ABI1,NM_001012750.3,TRUE,0.41,NA,9,28292457,0.45968638103469567
NA,ABI1,NM_001012750.3,TRUE,0.41,NA,11,28443114,0.4870148160667005
NA,ABI1,NM_001012750.3,TRUE,0.41,NA,0,27314859,0.5499718027445328
NA,ABI1,NM_001012750.3,TRUE,0.41,NA,6,176172529,0.5000376704588262
chr10,ABI1,ENST00000376140,TRUE,0.41,1,1,40311132,0.7678032420346562
chr10,ABI1,ENST00000376140,TRUE,0.41,1,15,35617892,0.8921200208128577
chr10,ABI1,ENST00000376140,TRUE,0.41,1,9,28292457,0.45968638103469567
chr10,ABI1,ENST00000376140,TRUE,0.41,1,11,28443114,0.4870148160667005
chr10,ABI1,ENST00000376140,TRUE,0.41,1,0,27314859,0.5499718027445328
chr10,ABI1,ENST00000376140,TRUE,0.41,1,6,176172529,0.5000376704588262
NA,ABI2,NM_001375670.1,TRUE,0.585,NA,1,31182374,0.49720514253773057
NA,ABI2,NM_001375670.1,TRUE,0.585,NA,15,32563920,0.5255246574550501
NA,ABI2,NM_001375670.1,TRUE,0.585,NA,9,27682205,0.394184467218175
NA,ABI2,NM_001375670.1,TRUE,0.585,NA,11,36698953,0.7293110247310011
NA,ABI2,NM_001375670.1,TRUE,0.585,NA,0,28569203,0.6790525722163043
NA,ABI2,NM_001375670.1,TRUE,0.585,NA,6,176172529,0.5000376704588262
chr2,ABI2,ENST00000261018,TRUE,0.585,2,1,31182374,0.49720514253773057
chr2,ABI2,ENST00000261018,TRUE,0.585,2,15,32563920,0.5255246574550501
chr2,ABI2,ENST00000261018,TRUE,0.585,2,9,27682205,0.394184467218175
chr2,ABI2,ENST00000261018,TRUE,0.585,2,11,36698953,0.7293110247310011
chr2,ABI2,ENST00000261018,TRUE,0.585,2,0,28569203,0.6790525722163043
chr2,ABI2,ENST00000261018,TRUE,0.585,2,6,176172529,0.5000376704588262
NA,ABL1,NM_005157.6,TRUE,0.19,NA,1,41670920,0.7973169368362214
NA,ABL1,NM_005157.6,TRUE,0.19,NA,15,33038701,0.6032838064404232
NA,ABL1,NM_005157.6,TRUE,0.19,NA,9,29077827,0.5408692431164341
NA,ABL1,NM_005157.6,TRUE,0.19,NA,11,30380308,0.5564756915103375
NA,ABL1,NM_005157.6,TRUE,0.19,NA,0,27824457,0.6027320007519268
NA,ABL1,NM_005157.6,TRUE,0.19,NA,6,176172529,0.5000376704588262
chr9,ABL1,ENST00000318560,TRUE,0.19,0,1,41670920,0.7973169368362214
chr9,ABL1,ENST00000318560,TRUE,0.19,0,15,33038701,0.6032838064404232
chr9,ABL1,ENST00000318560,TRUE,0.19,0,9,29077827,0.5408692431164341
chr9,ABL1,ENST00000318560,TRUE,0.19,0,11,30380308,0.5564756915103375
chr9,ABL1,ENST00000318560,TRUE,0.19,0,0,27824457,0.6027320007519268
chr9,ABL1,ENST00000318560,TRUE,0.19,0,6,176172529,0.5000376704588262
NA,ABL2,NM_007314.4,TRUE,0.578,NA,1,34411413,0.605757406372275
NA,ABL2,NM_007314.4,TRUE,0.578,NA,15,30748170,0.2377290859686651
NA,ABL2,NM_007314.4,TRUE,0.578,NA,9,33386852,0.864612915174713
NA,ABL2,NM_007314.4,TRUE,0.578,NA,11,55206492,0.9778604022308602
NA,ABL2,NM_007314.4,TRUE,0.578,NA,0,33211176,0.9660379723040292
NA,ABL2,NM_007314.4,TRUE,0.578,NA,6,176172529,0.5000376704588262
chr1,ABL2,ENST00000502732,TRUE,0.578,1,1,34411413,0.605757406372275
chr1,ABL2,ENST00000502732,TRUE,0.578,1,15,30748170,0.2377290859686651
chr1,ABL2,ENST00000502732,TRUE,0.578,1,9,33386852,0.864612915174713
chr1,ABL2,ENST00000502732,TRUE,0.578,1,11,55206492,0.9778604022308602
chr1,ABL2,ENST00000502732,TRUE,0.578,1,0,33211176,0.9660379723040292
chr1,ABL2,ENST00000502732,TRUE,0.578,1,6,176172529,0.5000376704588262
NA,ABLIM1,NM_001322882.2,TRUE,0.493,NA,1,26890777,0.33767467859139183
NA,ABLIM1,NM_001322882.2,TRUE,0.493,NA,15,31338168,0.3230039891310632
NA,ABLIM1,NM_001322882.2,TRUE,0.493,NA,9,25708438,0.1798987529324608
NA,ABLIM1,NM_001322882.2,TRUE,0.493,NA,11,22582268,0.2206072897301561
NA,ABLIM1,NM_001322882.2,TRUE,0.493,NA,0,26005367,0.3915032270192368
chr10,ABLIM1,ENST00000533213,TRUE,0.515,1,1,26890777,0.33767467859139183
chr10,ABLIM1,ENST00000533213,TRUE,0.515,1,15,31338168,0.3230039891310632
chr10,ABLIM1,ENST00000533213,TRUE,0.515,1,9,25708438,0.1798987529324608
chr10,ABLIM1,ENST00000533213,TRUE,0.515,1,11,22582268,0.2206072897301561
chr10,ABLIM1,ENST00000533213,TRUE,0.515,1,0,26005367,0.3915032270192368
NA,ABR,NM_021962.5,TRUE,0.431,NA,1,46109108,0.8777529346003354
NA,ABR,NM_021962.5,TRUE,0.431,NA,15,32091502,0.4437185639128173
NA,ABR,NM_021962.5,TRUE,0.431,NA,9,33120486,0.8516483516483516
NA,ABR,NM_021962.5,TRUE,0.431,NA,11,39970926,0.7969128499802828
NA,ABR,NM_021962.5,TRUE,0.431,NA,0,26667640,0.4726486621968795
NA,ABR,NM_021962.5,TRUE,0.431,NA,6,176172529,0.5000376704588262
chr17,ABR,ENST00000302538,TRUE,0.431,1,1,46109108,0.8777529346003354
chr17,ABR,ENST00000302538,TRUE,0.431,1,15,32091502,0.4437185639128173
chr17,ABR,ENST00000302538,TRUE,0.431,1,9,33120486,0.8516483516483516
chr17,ABR,ENST00000302538,TRUE,0.431,1,11,39970926,0.7969128499802828
chr17,ABR,ENST00000302538,TRUE,0.431,1,0,26667640,0.4726486621968795
chr17,ABR,ENST00000302538,TRUE,0.431,1,6,176172529,0.5000376704588262
NA,ACACA,NM_198834.3,TRUE,0.374,NA,1,45934803,0.8748462828395752
NA,ACACA,NM_198834.3,TRUE,0.374,NA,15,31789308,0.3928426894837255
NA,ACACA,NM_198834.3,TRUE,0.374,NA,9,36286438,0.9574638844301766
NA,ACACA,NM_198834.3,TRUE,0.374,NA,11,26090472,0.3888231648921188
NA,ACACA,NM_198834.3,TRUE,0.374,NA,0,28904241,0.711824049125885
NA,ACACA,NM_198834.3,TRUE,0.374,NA,6,176172529,0.5000376704588262
chr17,ACACA,ENST00000616317,TRUE,0.374,0,1,45934803,0.8748462828395752
chr17,ACACA,ENST00000616317,TRUE,0.374,0,15,31789308,0.3928426894837255
chr17,ACACA,ENST00000616317,TRUE,0.374,0,9,36286438,0.9574638844301766
chr17,ACACA,ENST00000616317,TRUE,0.374,0,11,26090472,0.3888231648921188
chr17,ACACA,ENST00000616317,TRUE,0.374,0,0,28904241,0.711824049125885
chr17,ACACA,ENST00000616317,TRUE,0.374,0,6,176172529,0.5000376704588262
NA,ACAN,NM_001369268.1,TRUE,0.377,NA,1,28089626,0.3809949692565679
NA,ACAN,NM_001369268.1,TRUE,0.377,NA,15,35106305,0.8517372954847662
NA,ACAN,NM_001369268.1,TRUE,0.377,NA,11,25750192,0.3725987268322911
chr15,ACAN,ENST00000560601,TRUE,0.377,0,1,28089626,0.3809949692565679
chr15,ACAN,ENST00000560601,TRUE,0.377,0,15,35106305,0.8517372954847662
chr15,ACAN,ENST00000560601,TRUE,0.377,0,11,25750192,0.3725987268322911
NA,ACAP1,NM_014716.4,TRUE,0.579,NA,1,26867798,0.336836221352711
NA,ACAP1,NM_014716.4,TRUE,0.579,NA,15,32360598,0.48858183500028907
NA,ACAP1,NM_014716.4,TRUE,0.579,NA,9,23742632,0.06723052228670207
NA,ACAP1,NM_014716.4,TRUE,0.579,NA,11,23340128,0.2578446284716354
NA,ACAP1,NM_014716.4,TRUE,0.579,NA,0,27529788,0.5730308916598784
NA,ACAP1,NM_014716.4,TRUE,0.579,NA,6,176172529,0.5000376704588262
chr17,ACAP1,ENST00000158762,TRUE,0.579,1,1,26867798,0.336836221352711
chr17,ACAP1,ENST00000158762,TRUE,0.579,1,15,32360598,0.48858183500028907
chr17,ACAP1,ENST00000158762,TRUE,0.579,1,9,23742632,0.06723052228670207
chr17,ACAP1,ENST00000158762,TRUE,0.579,1,11,23340128,0.2578446284716354
chr17,ACAP1,ENST00000158762,TRUE,0.579,1,0,27529788,0.5730308916598784
chr17,ACAP1,ENST00000158762,TRUE,0.579,1,6,176172529,0.5000376704588262
NA,ACAP2,NM_012287.6,TRUE,0.47,NA,1,30884241,0.48619340413638906
NA,ACAP2,NM_012287.6,TRUE,0.47,NA,15,34810004,0.8240157252702781
NA,ACAP2,NM_012287.6,TRUE,0.47,NA,9,28538382,0.4850598839362884
NA,ACAP2,NM_012287.6,TRUE,0.47,NA,11,40604918,0.8074474677482959
NA,ACAP2,NM_012287.6,TRUE,0.47,NA,0,29961346,0.8041857259226769
NA,ACAP2,NM_012287.6,TRUE,0.47,NA,6,176172529,0.5000376704588262
chr3,ACAP2,ENST00000326793,TRUE,0.47,1,1,30884241,0.48619340413638906
chr3,ACAP2,ENST00000326793,TRUE,0.47,1,15,34810004,0.8240157252702781
chr3,ACAP2,ENST00000326793,TRUE,0.47,1,9,28538382,0.4850598839362884
chr3,ACAP2,ENST00000326793,TRUE,0.47,1,11,40604918,0.8074474677482959
chr3,ACAP2,ENST00000326793,TRUE,0.47,1,0,29961346,0.8041857259226769
chr3,ACAP2,ENST00000326793,TRUE,0.47,1,6,176172529,0.5000376704588262
NA,ACHE,NM_000665.5,TRUE,0.546,NA,1,30886401,0.4863610955841252
NA,ACHE,NM_000665.5,TRUE,0.546,NA,15,30327478,0.18974388622304447
NA,ACHE,NM_000665.5,TRUE,0.546,NA,9,26551134,0.26355105568588716
NA,ACHE,NM_000665.5,TRUE,0.546,NA,11,22311369,0.2059038927384373
NA,ACHE,NM_000665.5,TRUE,0.546,NA,0,24954999,0.2799360862209412
NA,ACHE,NM_000665.5,TRUE,0.546,NA,6,176172529,0.5000376704588262
chr7,ACHE,ENST00000241069,TRUE,0.546,1,1,30886401,0.4863610955841252
chr7,ACHE,ENST00000241069,TRUE,0.546,1,15,30327478,0.18974388622304447
chr7,ACHE,ENST00000241069,TRUE,0.546,1,9,26551134,0.26355105568588716
chr7,ACHE,ENST00000241069,TRUE,0.546,1,11,22311369,0.2059038927384373
chr7,ACHE,ENST00000241069,TRUE,0.546,1,0,24954999,0.2799360862209412
chr7,ACHE,ENST00000241069,TRUE,0.546,1,6,176172529,0.5000376704588262
NA,ACIN1,NM_001386863.1,TRUE,0.15,NA,1,58267805,0.9918949133594188
NA,ACIN1,NM_001386863.1,TRUE,0.15,NA,15,32043338,0.43417933745736254
NA,ACIN1,NM_001386863.1,TRUE,0.15,NA,9,29605456,0.5974811705148784
NA,ACIN1,NM_001386863.1,TRUE,0.15,NA,11,55924995,0.9819728466001916
NA,ACIN1,NM_001386863.1,TRUE,0.15,NA,0,28553075,0.676922112914343
NA,ACIN1,NM_001386863.1,TRUE,0.15,NA,6,176172529,0.5000376704588262
chr14,ACIN1,ENST00000605057,TRUE,0.15,0,1,58267805,0.9918949133594188
chr14,ACIN1,ENST00000605057,TRUE,0.15,0,15,32043338,0.43417933745736254
chr14,ACIN1,ENST00000605057,TRUE,0.15,0,9,29605456,0.5974811705148784
chr14,ACIN1,ENST00000605057,TRUE,0.15,0,11,55924995,0.9819728466001916
chr14,ACIN1,ENST00000605057,TRUE,0.15,0,0,28553075,0.676922112914343
chr14,ACIN1,ENST00000605057,TRUE,0.15,0,6,176172529,0.5000376704588262
NA,ACKR3,NM_020311.3,TRUE,0.492,NA,1,26387947,0.3204024594745668
NA,ACKR3,NM_020311.3,TRUE,0.492,NA,15,30100686,0.16546221888188703
NA,ACKR3,NM_020311.3,TRUE,0.492,NA,9,29761649,0.6118656624274602
NA,ACKR3,NM_020311.3,TRUE,0.492,NA,11,20907855,0.1335136048673314
NA,ACKR3,NM_020311.3,TRUE,0.492,NA,0,26780235,0.48436618835766654
NA,ACKR3,NM_020311.3,TRUE,0.492,NA,6,176172529,0.5000376704588262
chr2,ACKR3,ENST00000272928,TRUE,0.492,1,1,26387947,0.3204024594745668
chr2,ACKR3,ENST00000272928,TRUE,0.492,1,15,30100686,0.16546221888188703
chr2,ACKR3,ENST00000272928,TRUE,0.492,1,9,29761649,0.6118656624274602
chr2,ACKR3,ENST00000272928,TRUE,0.492,1,11,20907855,0.1335136048673314
chr2,ACKR3,ENST00000272928,TRUE,0.492,1,0,26780235,0.48436618835766654
chr2,ACKR3,ENST00000272928,TRUE,0.492,1,6,176172529,0.5000376704588262
NA,ACLY,NM_001096.3,TRUE,0.401,NA,1,31623870,0.5110676355505869
NA,ACLY,NM_001096.3,TRUE,0.401,NA,15,36384103,0.9350176331155692
NA,ACLY,NM_001096.3,TRUE,0.401,NA,9,32954795,0.8436226694653661
NA,ACLY,NM_001096.3,TRUE,0.401,NA,11,42828018,0.8458678384316377
NA,ACLY,NM_001096.3,TRUE,0.401,NA,0,28779657,0.700607807506736
NA,ACLY,NM_001096.3,TRUE,0.401,NA,6,176172529,0.5000376704588262
chr17,ACLY,ENST00000352035,TRUE,0.401,1,1,31623870,0.5110676355505869
chr17,ACLY,ENST00000352035,TRUE,0.401,1,15,36384103,0.9350176331155692
chr17,ACLY,ENST00000352035,TRUE,0.401,1,9,32954795,0.8436226694653661
chr17,ACLY,ENST00000352035,TRUE,0.401,1,11,42828018,0.8458678384316377
chr17,ACLY,ENST00000352035,TRUE,0.401,1,0,28779657,0.700607807506736
chr17,ACLY,ENST00000352035,TRUE,0.401,1,6,176172529,0.5000376704588262
NA,ACO2,NM_001098.3,TRUE,0.489,NA,1,59355356,0.9948015651201788
NA,ACO2,NM_001098.3,TRUE,0.489,NA,15,36860737,0.9514944788113544
NA,ACO2,NM_001098.3,TRUE,0.489,NA,9,31897461,0.7849117174959872
NA,ACO2,NM_001098.3,TRUE,0.489,NA,11,54560669,0.9735789532984056
NA,ACO2,NM_001098.3,TRUE,0.489,NA,0,35479250,0.9943605489065732
NA,ACO2,NM_001098.3,TRUE,0.489,NA,6,176172529,0.5000376704588262
chr22,ACO2,ENST00000216254,TRUE,0.489,1,1,59355356,0.9948015651201788
chr22,ACO2,ENST00000216254,TRUE,0.489,1,15,36860737,0.9514944788113544
chr22,ACO2,ENST00000216254,TRUE,0.489,1,9,31897461,0.7849117174959872
chr22,ACO2,ENST00000216254,TRUE,0.489,1,11,54560669,0.9735789532984056
chr22,ACO2,ENST00000216254,TRUE,0.489,1,0,35479250,0.9943605489065732
chr22,ACO2,ENST00000216254,TRUE,0.489,1,6,176172529,0.5000376704588262
NA,ACOT7,NM_007274.4,TRUE,0.468,NA,1,27411874,0.35640022358859696
NA,ACOT7,NM_007274.4,TRUE,0.468,NA,15,34013660,0.7416314967913511
NA,ACOT7,NM_007274.4,TRUE,0.468,NA,9,29302383,0.568156562538585
NA,ACOT7,NM_007274.4,TRUE,0.468,NA,11,27065013,0.4332150301391471
NA,ACOT7,NM_007274.4,TRUE,0.468,NA,0,29894274,0.7983582931261357
NA,ACOT7,NM_007274.4,TRUE,0.468,NA,6,176172529,0.5000376704588262
