"hyperedge_id","protein_id"
"14-3-3","Cathepsin G"
"14-3-3","Chymase"
"14-3-3","Contactin-5"
"14-3-3","Corticotropin-lipotropin"
"14-3-3","Cyclophilin F"
"14-3-3","Cystatin M"
"14-3-3","DAF"
"14-3-3","DAN"
"14-3-3","DBNL"
"14-3-3","DC-SIGNR"
"14-3-3","DERM"
"14-3-3","DLC8"
"14-3-3","DLL1"
"14-3-3","DMP1"
"14-3-3","DR3"
"14-3-3","DR6"
"14-3-3","DRG-1"
"14-3-3","DRR1"
"14-3-3","DSC3"
"14-3-3","Discoidin domain receptor 2"
"14-3-3","DnaJ homolog"
"14-3-3","Dtk"
"14-3-3","EG-VEGF"
"14-3-3","EGFRvIII"
"14-3-3","EMAP-2"
"14-3-3","ENTP3"
"14-3-3","EP15R"
"14-3-3","EPHB2"
"14-3-3","ER"
"14-3-3","ERBB1"
"14-3-3","ERBB2"
"14-3-3","ERBB3"
"14-3-3","ERBB4"
"14-3-3","ES1"
"14-3-3","ESAM"
"14-3-3","ESPN"
"14-3-3","ETHE1"
"14-3-3","Elafin"
"14-3-3","Endostatin"
"14-3-3","EphA1"
"14-3-3","EphA5"
"14-3-3","EphB4"
"14-3-3","EphB6"
"14-3-3","Ephrin-A4"
"14-3-3","Ephrin-A5"
"14-3-3","Epithelial cell kinase"
"14-3-3","Epo"
"14-3-3","F229A"
"14-3-3","FABP"
"14-3-3","FAK1"
"14-3-3","FCG3B"
"14-3-3","FCGR1"
"14-3-3","FCRL3"
"14-3-3","FER"
"14-3-3","FETUB"
"14-3-3","FGF-17"
"14-3-3","FGF-18"
"14-3-3","FGF-19"
"14-3-3","FGF-8"
"14-3-3","FGF-8F"
"14-3-3","FGF7"
"14-3-3","FGFR-2"
"14-3-3","FN1.2"
"14-3-3","FST"
"14-3-3","FUT5"
"14-3-3","FYN"
"14-3-3","Factor H"
"14-3-3","Factor I"
"14-3-3","Fibrinogen"
"14-3-3","Flt-3"
"14-3-3","Flt3 ligand"
"14-3-3","Fractalkine/CX3CL-1"
"14-3-3","G-CSF-R"
"14-3-3","GA733-1 protein"
"14-3-3","GDF-11"
"14-3-3","GFRa-2"
"14-3-3","GFRa-3"
"14-3-3","GIB"
"14-3-3","GNT2C"
"14-3-3","GP114"
"14-3-3","GP1BA"
"14-3-3","GPC2"
"14-3-3","GPC5"
"14-3-3","GPVI"
"14-3-3","GRB2-related adapter protein 2"
"14-3-3","GREM1"
"14-3-3","GRN"
"14-3-3","GSK-3 alpha/beta"
"14-3-3","GSTA3"
"14-3-3","Glutamate carboxypeptidase"
"14-3-3","Granzyme B"
"14-3-3","Gro-a"
"14-3-3","Gro-b/g"
"14-3-3","HAI-1"
"14-3-3","HCC-4"
"14-3-3","HCG"
"14-3-3","HCK"
"14-3-3","HDAC8"
"14-3-3","HINT1"
"14-3-3","HMG-1"
"14-3-3","HMGR"
"14-3-3","HNRPQ"
"14-3-3","HPG-"
"14-3-3","HPT"
"14-3-3","HRG"
"14-3-3","HSP 40"
"14-3-3","HSP 60"
"14-3-3","HSP 70"
"14-3-3","HSP 90a/b"
"14-3-3","HTRA2"
"14-3-3","Hemopexin"
"14-3-3","Histone H2A.z"
"14-3-3","I-309"
"14-3-3","IF4G2"
"14-3-3","IFN-g"
"14-3-3","IFN-lambda 1"
"14-3-3","IFNL4"
"14-3-3","IGF-I"
"14-3-3","IGFBP-2"
"14-3-3","IGFBP-4"
"14-3-3","IGFBP-7"
"14-3-3","IL-12"
"14-3-3","IL-12 Rb1"
"14-3-3","IL-13"
"14-3-3","IL-15 Ra"
"14-3-3","IL-17"
"14-3-3","IL-17 RD"
"14-3-3","IL-17 sR"
"14-3-3","IL-17B R"
"14-3-3","IL-17E"
"14-3-3","IL-18 BPa"
"14-3-3","IL-18 Rb"
"14-3-3","IL-1b"
"14-3-3","IL-2"
"14-3-3","IL-20"
"14-3-3","IL-22"
"14-3-3","IL-27"
"14-3-3","IL-3"
"14-3-3","IL-3 Ra"
"14-3-3","IL-4"
"14-3-3","IL-4 sR"
"14-3-3","IL-5 Ra"
"14-3-3","IL-6"
"14-3-3","IL-7"
"14-3-3","IL22RA1"
"14-3-3","IL24"
"14-3-3","IMB1"
"14-3-3","IMDH2"
"14-3-3","ING1"
"14-3-3","IP-10"
"14-3-3","IR"
"14-3-3","ISM1"
"14-3-3","ITI heavy chain H4"
"14-3-3","IgE"
"14-3-3","IgG"
"14-3-3","Inhibin bA chain"
"14-3-3","Integrin aVb5"
"14-3-3","JAK2"
"14-3-3","JNK2"
"14-3-3","KI2L4"
"14-3-3","KIAP"
"14-3-3","KIRR3"
"14-3-3","KLRF1"
"14-3-3","KPCT"
"14-3-3","KREM2"
"14-3-3","Kallikrein 7"
"14-3-3","Kallistatin"
"14-3-3","Karyopherin-a2"
"14-3-3","Kininogen, HMW"
"14-3-3","Kininogen, HMW, Two Chain"
"14-3-3","Kininostatin"
"14-3-3","Ku70"
"14-3-3","L-VEGF165"
"14-3-3","LAG-3"
"14-3-3","LCK"
"14-3-3","LCMT1"
"14-3-3","LDH-H 1"
"14-3-3","LGMN"
"14-3-3","LIF sR"
"14-3-3","LRIG3"
"14-3-3","LRRT1"
"14-3-3","LRRT3"
"14-3-3","LSAMP"
"14-3-3","LY86"
"14-3-3","LYN"
"14-3-3","LYNB"
"14-3-3","Lamin-B1"
"14-3-3","Laminin"
"14-3-3","Layilin"
"14-3-3","Livin B"
"14-3-3","Luteinizing hormone"
"14-3-3","Lymphotoxin a1/b2"
"14-3-3","Lysozyme"
"14-3-3","MAPK14"
"14-3-3","MAPK2"
"14-3-3","MATN2"
"14-3-3","MATN3"
"14-3-3","MBD4"
"14-3-3","MBL"
"14-3-3","MCP-2"
"14-3-3","MDM2"
"14-3-3","MED-1"
"14-3-3","METAP1"
"14-3-3","MFRP"
"14-3-3","MIA"
"14-3-3","MICB"
"14-3-3","MIF"
"14-3-3","MIS"
"14-3-3","MK08"
"14-3-3","MK12"
"14-3-3","MMP-1"
"14-3-3","MMP-12"
"14-3-3","MMP-13"
"14-3-3","MMP-14"
"14-3-3","MMP-16"
"14-3-3","MMP-17"
"14-3-3","MMP-3"
"14-3-3","MMP-7"
"14-3-3","MOZ"
"14-3-3","MPIF-1"
"14-3-3","MRCKB"
"14-3-3","MSP R"
"14-3-3","Macrophage scavenger receptor"
"14-3-3","Met"
"14-3-3","Mn SOD"
"14-3-3","Moesin"
"14-3-3","N-terminal pro-BNP"
"14-3-3","NACA"
"14-3-3","NAGK"
"14-3-3","NANOG"
"14-3-3","NAP-2"
"14-3-3","NCAM1"
"14-3-3","NCC27"
"14-3-3","NG36"
"14-3-3","NID2"
"14-3-3","NKp30"
"14-3-3","NKp44"
"14-3-3","NKp46"
"14-3-3","NMT1"
"14-3-3","NOTC2"
"14-3-3","NPS-PLA2"
"14-3-3","NRX1A"
"14-3-3","NRX1B"
"14-3-3","NRX3A"
"14-3-3","NRX3B"
"14-3-3","NSF1C"
"14-3-3","NUDC3"
"14-3-3","Nectin-like protein 1"
"14-3-3","Nectin-like protein 2"
"14-3-3","Neurotrophin-5"
"14-3-3","Nidogen"
"14-3-3","Nogo Receptor"
"14-3-3","Notch 1"
"14-3-3","NovH"
"14-3-3","Nucleoside diphosphate kinase A"
"14-3-3","OBCAM"
"14-3-3","Oxidized PARK7"
"14-3-3","P-Cadherin"
"14-3-3","P-Selectin"
"14-3-3","PA2G4"
"14-3-3","PACA"
"14-3-3","PACAP-38"
"14-3-3","PAFAH beta subunit"
"14-3-3","PAI-1"
"14-3-3","PAK7"
"14-3-3","PAL4D"
"14-3-3","PBP"
"14-3-3","PCI"
"14-3-3","PDE5A"
"14-3-3","PDE7A"
"14-3-3","PDGF-BB"
"14-3-3","PDPK1"
"14-3-3","PECAM-1"
"14-3-3","PERL"
"14-3-3","PGP9.5"
"14-3-3","PHI"
"14-3-3","PIK3CA/PIK3R1"
"14-3-3","PKB a/b/g"
"14-3-3","PKC-D"
"14-3-3","PLK-1"
"14-3-3","PLPP"
"14-3-3","PP13G"
"14-3-3","PPIB"
"14-3-3","PPID"
"14-3-3","PPIE"
"14-3-3","PSA1"
"14-3-3","PSA6"
"14-3-3","PSME1"
"14-3-3","PTH"
"14-3-3","PTHrP"
"14-3-3","PTP-1B"
"14-3-3","Parathyroid Hormone1-34"
"14-3-3","Peroxiredoxin-1"
"14-3-3","Peroxiredoxin-6"
"14-3-3","Persephin"
"14-3-3","Phosphoglycerate mutase 1"
"14-3-3","Plasmin"
"14-3-3","Prolactin Receptor"
"14-3-3","Properdin"
"14-3-3","Protein disulfide isomerase A3"
"14-3-3","Prothrombin"
"14-3-3","RAC1"
"14-3-3","RAN"
"14-3-3","RANTES"
"14-3-3","RAP"
"14-3-3","RASA1"
"14-3-3","RELT"
"14-3-3","RGM-C"
"14-3-3","RGMA"
"14-3-3","RGMB"
"14-3-3","ROR1"
"14-3-3","RPS6KA3"
"14-3-3","RS7"
"14-3-3","RSK-like protein kinase"
"14-3-3","RSPO2"
"14-3-3","RTN4"
"14-3-3","RUXF"
"14-3-3","SAA"
"14-3-3","SAP"
"14-3-3","SBDS"
"14-3-3","SCF sR"
"14-3-3","SDF-1"
"14-3-3","SE6L2"
"14-3-3","SGTA"
"14-3-3","SH21A"
"14-3-3","SHC1"
"14-3-3","SHP-2"
"14-3-3","SIG14"
"14-3-3","SLAF6"
"14-3-3","SLAF7"
"14-3-3","SLIK5"
"14-3-3","SLPI"
"14-3-3","SMAC"
"14-3-3","SNAA"
"14-3-3","SORC2"
"14-3-3","SP-D"
"14-3-3","SPHK2"
"14-3-3","SREC-I"
"14-3-3","ST4S6"
"14-3-3","STK16"
"14-3-3","STRATIFIN"
"14-3-3","STX1a"
"14-3-3","Secretin"
"14-3-3","Semaphorin 3A"
"14-3-3","Siglec-7"
"14-3-3","Soggy-1"
"14-3-3","Sphingosine kinase 1"
"14-3-3","Stress-induced-phosphoprotein 1"
"14-3-3","Survivin"
"14-3-3","TAFI"
"14-3-3","TBK1"
"14-3-3","TBP"
"14-3-3","TCP2L"
"14-3-3","TCTP"
"14-3-3","TEC"
"14-3-3","TECK"
"14-3-3","TFF3"
"14-3-3","TGF-b R III"
"14-3-3","TGF-b1"
"14-3-3","TGF-b2"
"14-3-3","TIMP-1"
"14-3-3","TMA"
"14-3-3","TNF sR-II"
"14-3-3","TNF-b"
"14-3-3","TNR4"
"14-3-3","TPSG1"
"14-3-3","TRAIL R1"
"14-3-3","TSLP"
"14-3-3","TSP4"
"14-3-3","TYK2"
"14-3-3","Testican-1"
"14-3-3","Thrombin"
"14-3-3","Thrombopoietin Receptor"
"14-3-3","Thyroxine-Binding Globulin"
"14-3-3","Topoisomerase I"
"14-3-3","Transferrin"
"14-3-3","Trypsin"
"14-3-3","Trypsin 2"
"14-3-3","UB2L3"
"14-3-3","UFC1"
"14-3-3","UFM1"
"14-3-3","ULBP-2"
"14-3-3","UNC5H3"
"14-3-3","UNC5H4"
"14-3-3","UPK3L"
"14-3-3","VCAM-1"
"14-3-3","VEGF sR2"
"14-3-3","VEGF sR3"
"14-3-3","VWC2L"
"14-3-3","WFKN2"
"14-3-3","WIF-1"
"14-3-3","WISP-1"
"14-3-3","WNT7A"
"14-3-3","XEDAR"
"14-3-3","XPNPEP1"
"14-3-3","YES"
"14-3-3","a1-Antichymotrypsin"
"14-3-3","a1-Antitrypsin"
"14-3-3","a2-HS-Glycoprotein"
"14-3-3","alpha-1-antichymotrypsin complex"
"14-3-3","amyloid precursor protein"
"14-3-3","annexin I"
"14-3-3","bFGF"
"14-3-3","bFGF-R"
"14-3-3","cGMP-stimulated PDE"
"14-3-3","calgranulin B"
"14-3-3","calreticulin"
"14-3-3","complement factor H-related 5"
"14-3-3","eIF-5A-1"
"14-3-3","hnRNP A/B"
"14-3-3","hnRNP A2/B1"
"14-3-3","hnRNP K"
"14-3-3","iC3b"
"14-3-3","kallikrein 13"
"14-3-3","kallikrein 14"
"14-3-3","kallikrein 8"
"14-3-3","p60-Src"
"14-3-3","sICAM-2"
"14-3-3","sICAM-3"
"14-3-3","sRAGE"
"14-3-3","sRANKL"
"14-3-3","sTie-1"
"14-3-3","tPA"
"14-3-3","vWF"
"17-beta-HSD 1","17-beta-HSD 1"
"17-beta-HSD 1","40S ribosomal protein SA"
"17-beta-HSD 1","6Ckine"
"17-beta-HSD 1","ADAM 9"
"17-beta-HSD 1","ADAM12"
"17-beta-HSD 1","AGR2"
"17-beta-HSD 1","AK1A1"
"17-beta-HSD 1","AMNLS"
"17-beta-HSD 1","AMPK a2b2g1"
"17-beta-HSD 1","ANR63"
"17-beta-HSD 1","ARI3A"
"17-beta-HSD 1","ARMEL"
"17-beta-HSD 1","ARSB"
"17-beta-HSD 1","ARTS1"
"17-beta-HSD 1","ASAH2"
"17-beta-HSD 1","ATS15"
"17-beta-HSD 1","Activin A"
"17-beta-HSD 1","Activin AB"
"17-beta-HSD 1","Adiponectin"
"17-beta-HSD 1","Aggrecan"
"17-beta-HSD 1","Alkaline phosphatase, bone"
"17-beta-HSD 1","Alkaline phosphatase, liver"
"17-beta-HSD 1","Angiopoietin-1"
"17-beta-HSD 1","Angiopoietin-2"
"17-beta-HSD 1","Angiostatin"
"17-beta-HSD 1","Antithrombin III"
"17-beta-HSD 1","Apo B"
"17-beta-HSD 1","Apo E"
"17-beta-HSD 1","Apo E3"
"17-beta-HSD 1","Apo E4"
"17-beta-HSD 1","B7"
"17-beta-HSD 1","B7-2"
"17-beta-HSD 1","B7-H1"
"17-beta-HSD 1","B7-H2"
"17-beta-HSD 1","BAFF"
"17-beta-HSD 1","BCMA"
"17-beta-HSD 1","BDNF"
"17-beta-HSD 1","BGH3"
"17-beta-HSD 1","BMP RII"
"17-beta-HSD 1","BMP-14"
"17-beta-HSD 1","BMPER"
"17-beta-HSD 1","BMPR1A"
"17-beta-HSD 1","BMX"
"17-beta-HSD 1","BNP"
"17-beta-HSD 1","BPSA"
"17-beta-HSD 1","BSP"
"17-beta-HSD 1","BSSP4"
"17-beta-HSD 1","BST1"
"17-beta-HSD 1","BTG"
"17-beta-HSD 1","C3"
"17-beta-HSD 1","C3a"
"17-beta-HSD 1","C3b"
"17-beta-HSD 1","C3d"
"17-beta-HSD 1","C6"
"17-beta-HSD 1","C9"
"17-beta-HSD 1","CAD15"
"17-beta-HSD 1","CAMK2A"
"17-beta-HSD 1","CAMK2B"
"17-beta-HSD 1","CAMK2D"
"17-beta-HSD 1","CAPG"
"17-beta-HSD 1","CATZ"
"17-beta-HSD 1","CD23"
"17-beta-HSD 1","CD30"
"17-beta-HSD 1","CD30 Ligand"
"17-beta-HSD 1","CD36 ANTIGEN"
"17-beta-HSD 1","CG073"
"17-beta-HSD 1","CK-BB"
"17-beta-HSD 1","CK-MB"
"17-beta-HSD 1","CK-MM"
"17-beta-HSD 1","CK094"
"17-beta-HSD 1","CK2-A1:B"
"17-beta-HSD 1","CK2-A2:B"
"17-beta-HSD 1","CKAP2"
"17-beta-HSD 1","CLC4K"
"17-beta-HSD 1","CNTN2"
"17-beta-HSD 1","CO8A1"
"17-beta-HSD 1","COMMD7"
"17-beta-HSD 1","COX-2"
"17-beta-HSD 1","CRDL1"
"17-beta-HSD 1","CRTAM"
"17-beta-HSD 1","CS084"
"17-beta-HSD 1","CSF-1"
"17-beta-HSD 1","CTACK"
"17-beta-HSD 1","CTAP-III"
"17-beta-HSD 1","CTGF"
"17-beta-HSD 1","Cadherin E"
"17-beta-HSD 1","Cadherin-5"
"17-beta-HSD 1","Calpastatin"
"17-beta-HSD 1","Carbonic Anhydrase IV"
"17-beta-HSD 1","Carbonic Anhydrase X"
"17-beta-HSD 1","Carbonic anhydrase I"
"17-beta-HSD 1","Carbonic anhydrase XIII"
"17-beta-HSD 1","Cathepsin D"
"17-beta-HSD 1","Cathepsin S"
"17-beta-HSD 1","Cathepsin V"
"17-beta-HSD 1","Coactosin-like protein"
"17-beta-HSD 1","Coagulation Factor IX"
"17-beta-HSD 1","Coagulation Factor IXab"
"17-beta-HSD 1","Cofilin-1"
"17-beta-HSD 1","Collectin Kidney 1"
"17-beta-HSD 1","Corticotropin-lipotropin"
"17-beta-HSD 1","Cyclin B1"
"17-beta-HSD 1","Cystatin C"
"17-beta-HSD 1","Cytochrome P450 3A4"
"17-beta-HSD 1","DAF"
"17-beta-HSD 1","DAN"
"17-beta-HSD 1","DAPK2"
"17-beta-HSD 1","DC-SIGN"
"17-beta-HSD 1","DKK1"
"17-beta-HSD 1","DKK3"
"17-beta-HSD 1","DPP2"
"17-beta-HSD 1","DR3"
"17-beta-HSD 1","DRAK2"
"17-beta-HSD 1","DUS3"
"17-beta-HSD 1","Dkk-4"
"17-beta-HSD 1","Dtk"
"17-beta-HSD 1","EGFRvIII"
"17-beta-HSD 1","EMAP-2"
"17-beta-HSD 1","EPHB2"
"17-beta-HSD 1","ER"
"17-beta-HSD 1","ERAB"
"17-beta-HSD 1","ERBB1"
"17-beta-HSD 1","ERBB3"
"17-beta-HSD 1","ES1"
"17-beta-HSD 1","ESPN"
"17-beta-HSD 1","Endoglin"
"17-beta-HSD 1","Endostatin"
"17-beta-HSD 1","Enterokinase"
"17-beta-HSD 1","Eotaxin"
"17-beta-HSD 1","EphA5"
"17-beta-HSD 1","Esterase D"
"17-beta-HSD 1","F229A"
"17-beta-HSD 1","FABPE"
"17-beta-HSD 1","FER"
"17-beta-HSD 1","FGF-12"
"17-beta-HSD 1","FGF-8"
"17-beta-HSD 1","FGF-8A"
"17-beta-HSD 1","FGF-8F"
"17-beta-HSD 1","FGF7"
"17-beta-HSD 1","FGFR4"
"17-beta-HSD 1","FGR"
"17-beta-HSD 1","FN1.2"
"17-beta-HSD 1","FSH"
"17-beta-HSD 1","FYN"
"17-beta-HSD 1","Factor D"
"17-beta-HSD 1","Factor H"
"17-beta-HSD 1","Fas ligand, soluble"
"17-beta-HSD 1","Fibrinogen"
"17-beta-HSD 1","Fibrinogen g-chain dimer"
"17-beta-HSD 1","Ficolin-3"
"17-beta-HSD 1","Fractalkine/CX3CL-1"
"17-beta-HSD 1","GAPDH, liver"
"17-beta-HSD 1","GAS1"
"17-beta-HSD 1","GCKR"
"17-beta-HSD 1","GCP-2"
"17-beta-HSD 1","GDF2"
"17-beta-HSD 1","GITR"
"17-beta-HSD 1","GM-CSF"
"17-beta-HSD 1","GNS"
"17-beta-HSD 1","GNT2C"
"17-beta-HSD 1","GOT1"
"17-beta-HSD 1","GP1BA"
"17-beta-HSD 1","GPC5"
"17-beta-HSD 1","GRN"
"17-beta-HSD 1","GV"
"17-beta-HSD 1","Galectin-2"
"17-beta-HSD 1","Galectin-8"
"17-beta-HSD 1","Gelsolin"
"17-beta-HSD 1","Glucocorticoid receptor"
"17-beta-HSD 1","Glypican 3"
"17-beta-HSD 1","Granulysin"
"17-beta-HSD 1","Granzyme H"
"17-beta-HSD 1","Gro-a"
"17-beta-HSD 1","HGFA"
"17-beta-HSD 1","HINT1"
"17-beta-HSD 1","HMG-1"
"17-beta-HSD 1","HPT"
"17-beta-HSD 1","HSP 60"
"17-beta-HSD 1","HSP 70"
"17-beta-HSD 1","HVEM"
"17-beta-HSD 1","Histone H1.2"
"17-beta-HSD 1","I-309"
"17-beta-HSD 1","ICOS"
"17-beta-HSD 1","IDS"
"17-beta-HSD 1","IFN-aA"
"17-beta-HSD 1","IFN-g R1"
"17-beta-HSD 1","IFN-lambda 1"
"17-beta-HSD 1","IFNL4"
"17-beta-HSD 1","IGF-I sR"
"17-beta-HSD 1","IGF-II receptor"
"17-beta-HSD 1","IGFBP-1"
"17-beta-HSD 1","IGFBP-2"
"17-beta-HSD 1","IGFBP-5"
"17-beta-HSD 1","IGFBP-7"
"17-beta-HSD 1","IL-1 R AcP"
"17-beta-HSD 1","IL-1 R4"
"17-beta-HSD 1","IL-1 sR9"
"17-beta-HSD 1","IL-10 Rb"
"17-beta-HSD 1","IL-16"
"17-beta-HSD 1","IL-17D"
"17-beta-HSD 1","IL-22"
"17-beta-HSD 1","IL-34"
"17-beta-HSD 1","IL-4"
"17-beta-HSD 1","IL-7"
"17-beta-HSD 1","IL-8"
"17-beta-HSD 1","ILT-2"
"17-beta-HSD 1","ILT-4"
"17-beta-HSD 1","ING1"
"17-beta-HSD 1","IP-10"
"17-beta-HSD 1","IR"
"17-beta-HSD 1","ISM1"
"17-beta-HSD 1","IgG"
"17-beta-HSD 1","Inhibin bA chain"
"17-beta-HSD 1","Insulin"
"17-beta-HSD 1","Integrin a1b1"
"17-beta-HSD 1","JAG2"
"17-beta-HSD 1","JAM-B"
"17-beta-HSD 1","KI3S1"
"17-beta-HSD 1","KIAP"
"17-beta-HSD 1","KIRR3"
"17-beta-HSD 1","KLRF1"
"17-beta-HSD 1","Kallikrein 11"
"17-beta-HSD 1","Kallikrein 6"
"17-beta-HSD 1","Kallistatin"
"17-beta-HSD 1","Karyopherin-a2"
"17-beta-HSD 1","Kininogen, HMW, Two Chain"
"17-beta-HSD 1","Kininostatin"
"17-beta-HSD 1","Ku70"
"17-beta-HSD 1","L-VEGF165"
"17-beta-HSD 1","LBP"
"17-beta-HSD 1","LD78-beta"
"17-beta-HSD 1","LEAP-1"
"17-beta-HSD 1","LG3BP"
"17-beta-HSD 1","LIF sR"
"17-beta-HSD 1","LRIG3"
"17-beta-HSD 1","LRP8"
"17-beta-HSD 1","LSAMP"
"17-beta-HSD 1","LYN"
"17-beta-HSD 1","Lactoferrin"
"17-beta-HSD 1","Laminin"
"17-beta-HSD 1","Lipocalin 2"
"17-beta-HSD 1","Luteinizing hormone"
"17-beta-HSD 1","Lymphotactin"
"17-beta-HSD 1","M2-PK"
"17-beta-HSD 1","MAPK14"
"17-beta-HSD 1","MAPK2"
"17-beta-HSD 1","MATK"
"17-beta-HSD 1","MATN2"
"17-beta-HSD 1","MATN3"
"17-beta-HSD 1","MCP-4"
"17-beta-HSD 1","MFGM"
"17-beta-HSD 1","MIA"
"17-beta-HSD 1","MIF"
"17-beta-HSD 1","MIP-1a"
"17-beta-HSD 1","MIP-3b"
"17-beta-HSD 1","MK08"
"17-beta-HSD 1","MK11"
"17-beta-HSD 1","MMP-1"
"17-beta-HSD 1","MMP-12"
"17-beta-HSD 1","MMP-16"
"17-beta-HSD 1","MMP-2"
"17-beta-HSD 1","MMP-8"
"17-beta-HSD 1","MOZ"
"17-beta-HSD 1","MSP R"
"17-beta-HSD 1","Macrophage mannose receptor"
"17-beta-HSD 1","Mn SOD"
"17-beta-HSD 1","Moesin"
"17-beta-HSD 1","Myoglobin"
"17-beta-HSD 1","N-terminal pro-BNP"
"17-beta-HSD 1","NADPH-P450 Oxidoreductase"
"17-beta-HSD 1","NAP-2"
"17-beta-HSD 1","NCAM-120"
"17-beta-HSD 1","NCAM-L1"
"17-beta-HSD 1","NCAM1"
"17-beta-HSD 1","NKp30"
"17-beta-HSD 1","NKp46"
"17-beta-HSD 1","NR1D1"
"17-beta-HSD 1","NRX1A"
"17-beta-HSD 1","NRX3A"
"17-beta-HSD 1","NRX3B"
"17-beta-HSD 1","NXPH1"
"17-beta-HSD 1","Nectin-like protein 2"
"17-beta-HSD 1","Noggin"
"17-beta-HSD 1","NovH"
"17-beta-HSD 1","Nr-CAM"
"17-beta-HSD 1","Nucleoside diphosphate kinase A"
"17-beta-HSD 1","OLR1"
"17-beta-HSD 1","Oxidized PARK7"
"17-beta-HSD 1","P-Cadherin"
"17-beta-HSD 1","PACA"
"17-beta-HSD 1","PAFAH"
"17-beta-HSD 1","PAK3"
"17-beta-HSD 1","PAL4D"
"17-beta-HSD 1","PARC"
"17-beta-HSD 1","PBP"
"17-beta-HSD 1","PCSK9"
"17-beta-HSD 1","PD-L2"
"17-beta-HSD 1","PDE11"
"17-beta-HSD 1","PDE3A"
"17-beta-HSD 1","PDGF-AA"
"17-beta-HSD 1","PDGF-BB"
"17-beta-HSD 1","PDGF-CC"
"17-beta-HSD 1","PDK1"
"17-beta-HSD 1","PDPK1"
"17-beta-HSD 1","PH"
"17-beta-HSD 1","PKC-A"
"17-beta-HSD 1","PLPP"
"17-beta-HSD 1","PP13G"
"17-beta-HSD 1","PPase"
"17-beta-HSD 1","PRKACA"
"17-beta-HSD 1","PSA"
